pattern,canonical,note
united states of america,USA,
united states,USA,
u\.?s\.?a\.?,USA,
usa,USA,
united kingdom,UK,
u\.?k\.?,UK,
england,UK,
scotland,UK,
wales,UK,
northern ireland,UK,
great britain,UK,
republic of korea,South Korea,przed samym "korea"
south korea,South Korea,
korea,South Korea,"North Korea praktycznie nie wystepuje w tym pismiennictwie"
people'?s republic of china,China,
prc,China,
hong kong,Hong Kong,przed "china"
macau,China,
taiwan,Taiwan,
china,China,
japan,Japan,
germany,Germany,
deutschland,Germany,
france,France,
italy,Italy,
italia,Italy,
spain,Spain,
espana,Spain,
the netherlands,Netherlands,
netherlands,Netherlands,
holland,Netherlands,
belgium,Belgium,
switzerland,Switzerland,
austria,Austria,
sweden,Sweden,
norway,Norway,
denmark,Denmark,
finland,Finland,
iceland,Iceland,
poland,Poland,
czech republic,Czechia,
czechia,Czechia,
slovakia,Slovakia,
slovenia,Slovenia,
croatia,Croatia,
serbia,Serbia,
bosnia,Bosnia and Herzegovina,
hungary,Hungary,
romania,Romania,
bulgaria,Bulgaria,
greece,Greece,
portugal,Portugal,
ireland,Ireland,po "northern ireland"
turkiye,Turkey,
turkey,Turkey,
israel,Israel,
russia,Russia,
russian federation,Russia,
ukraine,Ukraine,
lithuania,Lithuania,
latvia,Latvia,
estonia,Estonia,
canada,Canada,
australia,Australia,
new zealand,New Zealand,
india,India,
pakistan,Pakistan,
bangladesh,Bangladesh,
sri lanka,Sri Lanka,
nepal,Nepal,
singapore,Singapore,
malaysia,Malaysia,
indonesia,Indonesia,
thailand,Thailand,
vietnam,Vietnam,
philippines,Philippines,
brazil,Brazil,
brasil,Brazil,
argentina,Argentina,
chile,Chile,
colombia,Colombia,
peru,Peru,
mexico,Mexico,
uruguay,Uruguay,
venezuela,Venezuela,
ecuador,Ecuador,
egypt,Egypt,
saudi arabia,Saudi Arabia,
united arab emirates,UAE,
u\.?a\.?e\.?,UAE,
qatar,Qatar,
kuwait,Kuwait,
oman,Oman,
bahrain,Bahrain,
jordan,Jordan,
lebanon,Lebanon,
iraq,Iraq,
iran,Iran,
syria,Syria,
morocco,Morocco,
tunisia,Tunisia,
algeria,Algeria,
libya,Libya,
south africa,South Africa,
nigeria,Nigeria,
kenya,Kenya,
ethiopia,Ethiopia,
ghana,Ghana,
tanzania,Tanzania,
uganda,Uganda,
malawi,Malawi,
zimbabwe,Zimbabwe,
cyprus,Cyprus,
malta,Malta,
luxembourg,Luxembourg,
schweiz,Switzerland,nazwa niemiecka
suisse,Switzerland,nazwa francuska
svizzera,Switzerland,nazwa wloska
belgique,Belgium,
belgie,Belgium,
osterreich,Austria,
danmark,Denmark,
norge,Norway,
sverige,Sweden,
suomi,Finland,
nederland,Netherlands,
polska,Poland,
magyarorszag,Hungary,
romania,Romania,
mexico,Mexico,
