form,canonical,note
series,series,niezmienne - regula -ies dalaby "sery"
species,species,niezmienne
caries,caries,niezmienne
facies,facies,niezmienne
analyses,analysis,-ses -> -sis
diagnoses,diagnosis,
prognoses,prognosis,
prostheses,prosthesis,kluczowe w tej dziedzinie
arthroses,arthrosis,
stenoses,stenosis,
necroses,necrosis,
metastases,metastasis,
anastomoses,anastomosis,
osteolyses,osteolysis,
paralyses,paralysis,
hypotheses,hypothesis,
theses,thesis,
axes,axis,
crises,crisis,
bases,basis,uwaga: "bases" moze tez byc mnoga od "base" - wybrano "basis" jako czestsze w abstraktach
children,child,
feet,foot,
teeth,tooth,
criteria,criterion,
phenomena,phenomenon,
indices,index,
apices,apex,
vertebrae,vertebra,
fasciae,fascia,
bursae,bursa,
formulae,formula,
lamellae,lamella,
trabeculae,trabecula,
data,data,niezmienne - regula i tak nie zadziala, wpis dla jawnosci
media,media,niezmienne w sensie "media" jako srodowisko hodowlane
