variant,canonical
orthopaedic,orthopedic
orthopaedics,orthopedic
orthopaedically,orthopedically
paediatric,pediatric
paediatrics,pediatric
haematoma,hematoma
haematomas,hematoma
haematological,hematological
haemarthrosis,hemarthrosis
haemorrhage,hemorrhage
haemorrhagic,hemorrhagic
oedema,edema
oedematous,edematous
anaesthesia,anesthesia
anaesthetic,anesthetic
anaesthesiology,anesthesiology
tumour,tumor
tumours,tumor
fibre,fiber
fibres,fiber
fibrous,fibrous
centre,center
centres,center
calibre,caliber
manoeuvre,maneuver
manoeuvres,maneuver
modelling,modeling
labelling,labeling
labelled,labeled
randomised,randomized
randomisation,randomization
standardised,standardized
standardisation,standardization
optimisation,optimization
optimised,optimized
minimisation,minimization
minimised,minimized
customised,customized
customisation,customization
personalised,personalized
individualised,individualized
utilisation,utilization
utilised,utilized
characterisation,characterization
characterised,characterized
sterilisation,sterilization
sterilised,sterilized
immobilisation,immobilization
immobilised,immobilized
mobilisation,mobilization
mobilised,mobilized
visualisation,visualization
visualised,visualized
localisation,localization
localised,localized
analyse,analyze
analysed,analyzed
analysing,analyzing
catheterisation,catheterization
vapourisation,vaporization
behaviour,behavior
behavioural,behavioral
favourable,favorable
honour,honor
programme,program
programmes,program
practise,practice
licence,license
defence,defense
ageing,aging
arthroplasties,arthroplasty
osteotomies,osteotomy
