grupa,prac,stomatologia,trawienny,moczowoplciowy,oko,sercowonaczyniowy,nerwowy,nowotwory,zwierzeta_bez_ludzi,max_obca,dziedzina_max,max_obca_scisle,dziedzina_scisle
mimic software,165,11.5,0.0,0.0,0.0,0.6,6.1,0.6,0.0,11.5,stomatologia,11.5,stomatologia
anterior cervical discectomy fusion,1928,1.1,8.6,0.1,0.2,1.2,26.5,0.3,0.0,26.5,nerwowy,8.6,trawienny
3d printing,476,8.2,0.0,0.4,0.4,0.0,3.8,8.0,0.0,8.2,stomatologia,8.2,stomatologia
finite element analysis,1504,7.7,0.0,0.1,0.0,0.1,4.1,1.3,0.0,7.7,stomatologia,7.7,stomatologia
mesenchymal stem cell,473,7.4,0.0,0.0,0.0,0.2,2.1,2.1,0.0,7.4,stomatologia,7.4,stomatologia
augmented reality,148,6.1,0.0,0.0,0.0,0.0,3.4,0.7,0.0,6.1,stomatologia,6.1,stomatologia
dual mobility cup,221,5.4,0.0,0.0,0.0,0.5,2.3,2.3,0.0,5.4,stomatologia,5.4,stomatologia
short stem,258,5.0,0.4,0.0,0.0,0.4,0.0,1.2,0.0,5.0,stomatologia,5.0,stomatologia
direct anterior approach,783,0.1,3.4,0.0,0.0,1.5,4.1,0.3,0.0,4.1,nerwowy,3.4,trawienny
hip resurfacing,794,3.3,0.0,0.1,0.0,1.6,0.9,1.0,0.0,3.3,stomatologia,3.3,stomatologia
cervical disc arthroplasty,384,1.0,2.3,0.0,0.0,0.3,16.4,0.3,0.0,16.4,nerwowy,2.3,trawienny
highly cross linked polyethylene,256,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,stomatologia,2.0,stomatologia
computer navigation,684,1.9,0.0,0.0,0.0,1.2,1.0,2.9,0.0,2.9,nowotwory,1.9,stomatologia
adult spinal deformity surgery,440,0.0,1.6,0.7,0.0,2.0,3.0,0.0,0.0,3.0,nerwowy,1.6,trawienny
electronic medical record,439,1.4,0.5,1.6,0.0,4.3,7.5,3.9,0.0,7.5,nerwowy,1.6,moczowoplciowy
polyetheretherketone,326,0.9,1.5,0.0,0.3,0.3,6.1,3.1,0.0,6.1,nerwowy,1.5,trawienny
kyphoplasty,1263,1.3,0.4,1.3,0.0,7.5,4.2,13.7,0.0,13.7,nowotwory,1.3,stomatologia
unicompartmental knee arthroplasty,2051,1.3,0.0,0.0,0.0,1.3,0.4,0.2,0.0,1.3,stomatologia,1.3,stomatologia
total elbow arthroplasty,321,1.2,0.3,0.3,0.0,2.5,2.2,0.3,0.0,2.5,sercowonaczyniowy,1.2,stomatologia
patient specific instrumentation,569,1.2,0.0,0.2,0.0,0.7,0.4,2.1,0.0,2.1,nowotwory,1.2,stomatologia
adductor canal block,332,1.2,0.0,0.3,0.0,0.9,3.3,0.0,0.0,3.3,nerwowy,1.2,stomatologia
femoral nerve block,188,1.1,0.0,0.5,0.0,1.1,4.3,0.0,0.0,4.3,nerwowy,1.1,stomatologia
artificial intelligence / machine learning,618,1.1,0.0,0.6,0.0,1.1,2.4,1.0,0.0,2.4,nerwowy,1.1,stomatologia
oblique lumbar interbody fusion,402,0.0,0.2,1.0,0.0,3.0,3.5,0.7,0.0,3.5,nerwowy,1.0,moczowoplciowy
total disc replacement,438,0.0,0.9,0.2,0.2,1.4,7.1,0.2,0.0,7.1,nerwowy,0.9,trawienny
manipulation under anesthesia,242,0.8,0.4,0.4,0.0,1.7,2.1,1.2,0.0,2.1,nerwowy,0.8,stomatologia
mom total hip arthroplasty,119,0.8,0.0,0.0,0.0,2.5,1.7,0.8,0.0,2.5,sercowonaczyniowy,0.8,stomatologia
vertebral augmentation,886,0.2,0.1,0.7,0.0,5.5,3.5,15.7,0.0,15.7,nowotwory,0.7,moczowoplciowy
locking plate,1574,0.7,0.0,0.4,0.0,0.3,2.1,1.5,0.0,2.1,nerwowy,0.7,stomatologia
robotic assistance,679,0.6,0.0,0.1,0.0,0.3,1.0,0.1,0.0,1.0,nerwowy,0.6,stomatologia
ultrasound guidance,194,0.5,0.0,0.5,0.0,2.6,10.3,3.1,0.0,10.3,nerwowy,0.5,stomatologia
percutaneous kyphoplasty,573,0.3,0.3,0.5,0.2,3.8,3.3,5.1,0.0,5.1,nowotwory,0.5,moczowoplciowy
