pozycja,term,n,occurrences,docs_total,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y0,baseline_share,share_at_y0,peak_share,peak_year,docs_2021_2025,emerging,prevalence_2021_2025,threshold,exceedance,w_rdzeniu_4
1,ci,1,26923,11128,44,68,65,103,129,141,218,284,329,417,504,599,635,721,828,967,994,962,846,1023,1251,2015,0.007114111576767146,0.03729189789123197,0.08367333288743228,2025,5076,True,0.06901146112327165,0.03557055788383573,2.3523199484440984,False
2,systematic review,2,15824,9914,37,27,62,70,123,147,209,211,305,367,428,465,547,613,698,806,982,927,851,984,1055,2014,0.005066427080116875,0.02733298577493111,0.07056384188348605,2025,4799,True,0.06524546925346349,0.025332135400584377,2.785546530824963,True
3,vas,1,14414,10185,70,79,112,148,167,212,260,292,352,392,451,502,656,569,659,828,892,866,778,891,1009,2021,0.010490667445926008,0.05568735172930453,0.0674871246070497,2025,4436,True,0.060310252471007304,0.05245333722963004,1.2866126002928049,False
4,primary outcome,2,6791,6479,11,12,22,28,46,47,68,89,125,137,202,251,311,375,504,573,614,622,607,789,1046,2013,0.0018038480394099727,0.009366102202907237,0.06996187545983547,2025,3678,True,0.05000475847348171,0.009019240197049864,7.756958893579478,False
5,meta analysis,2,14027,7393,29,28,31,29,67,78,103,145,227,259,330,404,438,494,590,629,708,666,625,722,791,2014,0.003556354773483731,0.019289491323452746,0.05290616012306869,2025,3512,True,0.04774788247930064,0.017781773867418655,2.9753027182517515,True
6,inclusion criterion,2,7875,7410,40,46,57,77,109,133,183,219,236,315,349,433,465,481,561,627,625,543,512,640,759,2016,0.005755466873558465,0.031148838213078196,0.05076583506119992,2025,3079,True,0.04186097100050304,0.028777334367792326,1.764090947840436,False
7,pubmed,1,5529,5497,5,5,14,12,26,43,70,83,109,144,214,254,325,335,410,475,524,517,534,630,768,2011,0.0009580212903808476,0.0058601925491837585,0.05136780148485051,2025,2973,True,0.04041983331747175,0.004790106451904238,10.723728585286446,False
8,95 ci,2,15952,6621,25,36,46,60,69,92,127,163,227,264,379,417,466,442,485,494,508,488,464,560,809,2015,0.004291181263945628,0.028042915279319274,0.05411009297036987,2025,2829,True,0.03846206137071227,0.02145590631972814,2.5219206387295356,False
9,embase,1,5600,5574,19,14,21,32,59,59,81,93,174,180,225,296,345,369,454,476,498,499,495,531,654,2013,0.002183842285778809,0.013037614266446876,0.043742893451943016,2025,2677,True,0.03639552431579949,0.010919211428894045,4.006048764308388,False
10,cohort,1,6637,5523,41,38,60,78,92,93,103,134,193,197,246,305,287,314,395,414,446,445,469,570,603,2022,0.005596286880687477,0.03078093657051947,0.04033175038458966,2025,2533,True,0.03443775236904001,0.027981434403437384,1.4413753706505874,False
11,retrospective cohort study,3,4506,4265,21,12,26,18,27,40,45,52,84,119,121,153,240,220,320,346,391,426,418,532,654,2017,0.002384245374837968,0.01669332962370453,0.043742893451943016,2025,2421,True,0.03291504085489375,0.01192122687418984,3.66932815838351,True
12,secondary outcome,2,4356,4143,8,9,10,13,22,24,55,60,78,85,114,152,191,202,319,381,407,394,387,501,731,2013,0.0010884541967653438,0.005844447774614117,0.04889305063206475,2025,2420,True,0.032901445216374586,0.005442270983826719,8.983942691821959,False
13,bmi,1,8185,4512,13,20,36,50,45,65,81,111,144,168,182,228,225,236,336,338,411,390,384,486,563,2016,0.002754141922068998,0.01640169771958852,0.037656344057253696,2025,2234,True,0.03037265645181026,0.013770709610344989,2.7345245904368696,False
14,level iii,2,4950,4939,24,25,19,66,55,61,105,115,152,202,236,274,256,320,413,444,404,359,389,517,503,2014,0.002756121701179308,0.015044313696283607,0.034892353377876766,2024,2172,True,0.02952972686362215,0.01378060850589654,2.5319893067818295,False
15,odd ratio,2,4993,4200,34,27,25,38,55,66,79,98,124,153,211,235,253,295,323,356,352,335,342,386,413,2017,0.003494307254683728,0.017597551644988524,0.02762357032974383,2025,1828,True,0.02485282721303006,0.01747153627341864,1.5810613272612202,False
16,patient reported outcome,3,3846,3023,0,1,2,7,7,13,22,29,47,67,80,122,123,174,250,279,288,324,324,385,479,2010,0.00011794440582046775,0.0011971636430610554,0.032037990769848174,2025,1800,True,0.024472149334493494,0.001,32.03799076984817,True
17,comorbidity,1,5109,4111,26,24,37,55,64,81,110,124,174,167,184,203,229,247,291,330,311,346,291,367,450,2019,0.0035040224606637457,0.01876934984520124,0.030098321182529596,2025,1765,True,0.02399630198632279,0.01752011230331873,1.717929694824402,False
18,periprosthetic joint infection,3,10326,3099,0,5,4,5,7,17,29,40,46,90,108,120,169,201,243,291,323,308,334,382,377,2011,0.0003554202484088054,0.0024277940560904145,0.025781197273402175,2024,1724,True,0.023438880807037103,0.001777101242044027,14.507444293803186,True
19,demographic,1,3648,3384,18,25,21,28,34,55,70,105,102,94,124,140,184,202,217,261,279,334,268,386,437,2018,0.002579704605764435,0.014037526059763725,0.02922881412614541,2025,1704,True,0.023166968036653843,0.012898523028822176,2.266058994571135,False
20,science,1,2645,2611,5,3,7,7,10,16,16,19,20,45,74,101,121,145,169,217,263,256,296,371,450,2014,0.0006049815883931455,0.0033514560214493185,0.030098321182529596,2025,1636,True,0.022242464617350754,0.0030249079419657275,9.950161049519508,False
21,prom,1,4222,2078,1,1,0,1,1,4,4,9,19,23,29,42,58,91,122,159,220,278,257,371,388,2013,8.2263427085854e-05,0.0014236475348419003,0.02595144137515885,2025,1514,True,0.020583796718012862,0.001,25.95144137515885,False
22,patient reported outcome measure,4,2482,2158,0,0,2,0,3,3,12,14,26,22,32,47,67,111,148,169,215,272,241,392,382,2011,7.810059356451109e-05,0.00100460443700293,0.026456097725585475,2024,1502,True,0.020420649055782905,0.001,26.456097725585476,True
23,operation time,2,4345,3132,17,25,19,44,45,31,63,58,95,110,133,136,191,173,227,288,269,327,314,291,276,2019,0.0024591843973700267,0.014641382868937049,0.023591284748309543,2023,1477,True,0.020080758092803828,0.012295921986850134,1.918626742552468,False
24,web,1,2314,2281,1,2,1,5,5,7,8,10,18,42,64,83,106,122,146,191,226,222,272,326,424,2013,0.0001611575361240662,0.0013487187172186424,0.02835930706976122,2025,1470,True,0.019985588623169688,0.001,28.359307069761222,False
25,odi,1,5435,3239,11,21,27,35,43,64,92,101,120,112,145,170,191,193,208,278,238,275,265,318,332,2016,0.00235769383362486,0.012229336018991439,0.022205872516888502,2025,1428,True,0.01941457180536484,0.011788469168124299,1.8836943287710826,False
26,or,1,4491,3082,18,29,23,34,39,36,54,64,92,93,148,168,188,194,232,252,241,260,278,297,342,2019,0.0028171804483527723,0.014963880288957688,0.022874724098722495,2025,1418,True,0.019278615420173208,0.014085902241763862,1.6239445444183405,False
27,this systematic review,3,2879,2537,3,1,13,9,34,36,30,53,65,80,91,132,120,155,164,194,244,254,244,263,352,2012,0.0006747565149149708,0.004390688426808053,0.023543575680556483,2025,1357,True,0.018449281470504262,0.003373782574574854,6.978391511647225,False
28,vas score,2,3819,2936,15,14,20,33,30,52,62,77,95,97,130,117,182,166,235,284,273,250,233,286,285,2017,0.0019751135296769643,0.012659108297975934,0.019302152932442463,2024,1327,True,0.01804141231492937,0.009875567648384822,1.9545360448823808,False
29,patient demographic,2,2886,2751,4,11,16,21,29,35,54,49,85,93,122,126,152,168,220,250,240,257,226,314,279,2013,0.0012327651426512012,0.006368949497976922,0.021191874198555713,2024,1316,True,0.017891860291218576,0.006163825713256006,3.4381040581631286,False
30,cochrane library,2,2662,2643,5,5,9,14,28,33,32,54,66,79,108,114,161,183,211,235,257,216,241,260,332,2012,0.0007627698064695699,0.004473531604672355,0.022205872516888502,2025,1306,True,0.017755903906026948,0.0038138490323478495,5.822430916521704,False
31,medline,1,3389,3357,24,23,35,43,69,66,83,102,139,158,183,208,212,222,247,272,293,270,256,226,226,2021,0.0033012388251834834,0.01829192158821326,0.019233658903080392,2023,1271,True,0.01728005655785624,0.016506194125917417,1.1652388646562934,False
32,readmission,1,4676,2418,6,13,7,13,12,15,16,27,50,69,67,122,169,156,228,249,225,263,231,231,249,2016,0.0010458393257826092,0.008776347025393856,0.0181918793663969,2022,1199,True,0.0163011705844765,0.005229196628913046,3.478905204254733,True
33,postoperative outcome,2,2459,2094,13,15,20,15,26,30,22,33,45,42,51,60,106,109,139,176,151,194,183,276,388,2022,0.0019301181122731263,0.013419104931866916,0.02595144137515885,2025,1192,True,0.01620600111484236,0.009650590561365632,2.689103968315751,True
34,intraoperative blood loss,3,2896,2117,12,10,15,22,19,18,28,30,59,67,67,63,114,114,144,177,214,204,214,221,305,2017,0.0014932279522521677,0.00792933157125965,0.020399973245936728,2025,1158,True,0.015743749405190816,0.007466139761260838,2.7323320883684743,False
35,instruction,1,3003,2976,2,33,20,14,6,11,18,78,119,222,127,201,256,242,262,233,253,215,210,222,232,2016,0.0021806909697514748,0.014459391410689878,0.01780621826528483,2017,1132,True,0.015390262803692576,0.010903454848757373,1.6330803871136441,False
36,independent risk factor,3,2892,2082,11,4,8,15,12,15,25,42,48,56,85,114,104,139,149,187,194,171,171,252,280,2015,0.0009383933864107417,0.006289308176100629,0.01872784429135175,2025,1068,True,0.01452014193846614,0.004691966932053708,3.9914697956224585,False
37,clinical efficacy,2,2226,1833,9,15,14,22,20,31,28,43,41,55,55,60,67,95,113,135,154,164,176,233,303,2020,0.0015261378722600035,0.00803045624888466,0.02026620292956993,2025,1030,True,0.014003507674737944,0.007630689361300017,2.6558810049787214,True
38,90 day,2,2620,1744,7,16,3,13,11,22,21,21,31,45,41,72,84,86,136,145,151,195,182,210,252,2017,0.0010515891902513545,0.0058426653682965846,0.016855059862216575,2025,990,True,0.013459682133971421,0.005257945951256773,3.2056358164328063,False
39,scopus,1,1421,1410,0,0,0,0,0,5,5,8,11,15,25,53,55,57,85,107,139,147,157,213,328,2014,0.0,0.001117152007149773,0.021938331884154907,2025,984,True,0.013378108302856444,0.001,21.938331884154906,False
40,bias,1,2770,1942,7,5,10,11,20,25,20,45,64,61,87,95,96,115,147,154,160,200,186,200,234,2013,0.0008866593329116202,0.004795444327888506,0.01565112701491539,2025,980,True,0.013323725748779791,0.004433296664558101,3.530358601994313,False
41,rct,1,3609,2378,11,14,21,22,41,32,45,57,78,104,135,136,152,188,170,193,207,166,166,207,233,2015,0.0018444853671396304,0.009988901220865706,0.015584241856731991,2025,979,True,0.013310130110260629,0.009222426835698152,1.6898200586865637,False
42,hr,1,5543,2033,3,12,11,25,22,25,50,47,58,73,85,103,118,116,140,175,163,186,177,179,265,2014,0.0010349378561659828,0.005436806434795561,0.017724566918600762,2025,970,True,0.013187769363588162,0.0051746892808299146,3.425242745349553,False
43,trial registration,2,1894,1882,0,3,5,4,9,12,19,25,31,63,66,94,97,112,155,229,205,156,161,166,270,2011,0.00031478292067914766,0.001590623691921306,0.018058992709517756,2025,958,True,0.013024621701358204,0.0015739146033957384,11.473934272263106,False
44,revision rate,2,2839,1990,12,15,22,15,24,40,49,49,63,74,75,86,105,131,123,179,185,161,173,179,230,2020,0.00196579909100774,0.010647790137410029,0.015383586382181794,2025,928,True,0.012616752545783313,0.0098289954550387,1.5651229520403949,False
45,subgroup analysis,2,1930,1656,3,9,8,4,12,18,26,35,40,51,56,62,79,93,123,134,156,161,136,199,251,2015,0.0007982555290513461,0.004143544210136885,0.016788174704033175,2025,903,True,0.012276861582804237,0.0039912776452567305,4.2062157023790085,False
46,exclusion criterion,2,1932,1895,8,10,16,14,18,26,29,46,55,59,76,103,105,106,156,167,169,139,165,206,222,2016,0.001362599789714834,0.007409538882094813,0.014848505116714601,2025,901,True,0.01224967030576591,0.00681299894857417,2.1794374590094585,False
47,preferred reporting item,3,1335,1332,0,0,0,0,0,0,4,5,10,7,30,41,61,60,105,114,162,154,169,211,199,2015,0.0,0.0022197558268590455,0.014240399541067693,2024,895,True,0.012168096474650931,0.001,14.240399541067692,False
48,surgical site infection,3,3236,2119,17,12,14,22,24,28,40,64,80,91,128,121,136,147,147,181,164,175,144,172,212,2017,0.0017459633541313123,0.009459553453432567,0.01417965353488061,2025,867,True,0.011787418596114367,0.00872981677065656,1.624278482286424,True
49,p value,2,2260,1686,5,9,17,15,21,22,31,25,63,58,69,87,88,88,110,133,156,153,168,175,193,2019,0.001234547429751441,0.007094943240454076,0.012908835529396027,2025,845,True,0.01148831454869278,0.006172737148757205,2.091266032929175,False
50,los,1,3833,1823,10,21,14,17,19,20,22,30,51,55,64,83,117,103,191,174,186,183,133,172,158,2019,0.0018076203606256407,0.012319401444788441,0.012658227848101266,2022,832,True,0.01131157124794366,0.009038101803128203,1.4005405254143177,False
51,reoperation rate,2,2333,1662,12,12,11,10,18,10,22,30,64,62,69,78,97,99,106,132,131,159,175,160,205,2020,0.001416714389635059,0.00785200166557611,0.013711457427596815,2025,830,True,0.011284379970905334,0.007083571948175295,1.9356699597198053,False
52,iqr,1,3269,1367,3,4,6,5,7,9,9,15,21,33,29,54,51,67,105,119,144,135,126,184,241,2016,0.000520935874207052,0.0038846126177972807,0.016119323122199183,2025,830,True,0.011284379970905334,0.0026046793710352597,6.188601676448327,False
53,minimal clinically important difference,4,1376,1155,1,1,1,1,3,3,3,2,13,7,10,21,32,50,81,105,156,138,135,198,194,2016,0.00012131372386810955,0.0015106826846989425,0.013363028953229399,2024,821,True,0.011162019224232865,0.001,13.3630289532294,False
54,hazard ratio,2,2163,1859,9,11,23,21,20,21,36,44,72,67,87,97,142,114,138,159,133,128,137,170,230,2022,0.0017182152942764768,0.008853842429273017,0.015383586382181794,2025,798,True,0.010849319538292115,0.008591076471382384,1.7906471247725295,False
55,mcid,1,3231,1107,1,2,0,1,3,5,8,13,12,7,11,25,28,43,64,88,149,142,134,176,195,2016,0.00012210723934181065,0.001798431767498741,0.013042605845762825,2025,796,True,0.01082212826125379,0.001,13.042605845762825,False
56,auc,1,2149,1135,1,1,4,0,4,5,11,8,14,17,24,28,40,40,58,87,125,124,134,164,246,2014,0.00023846461421487617,0.001266105608103076,0.01645374891311618,2025,793,True,0.010781341345696301,0.0011923230710743809,13.799740449784306,False
57,logistic regression analysis,3,1766,1601,12,12,13,18,17,21,39,33,48,51,77,72,77,85,97,139,148,140,123,169,210,2020,0.00149481498319957,0.008268395693296056,0.014045883218513812,2025,790,True,0.010740554430138811,0.00747407491599785,1.8792804964329919,False
58,koo,1,2761,1647,4,3,8,10,17,19,34,36,56,78,53,93,95,104,125,147,149,133,130,166,187,2013,0.0006016122703455038,0.004196013786902443,0.012507524580295632,2025,765,True,0.010400663467159735,0.003008061351727519,4.158001821709057,False
59,univariate analysis,2,1801,1591,10,8,13,13,20,28,27,33,44,45,60,84,88,108,131,124,165,140,128,147,175,2018,0.001250600504515949,0.007505211952744961,0.011704902682094844,2025,755,True,0.010264707081968104,0.006253002522579745,1.8718851687374432,False
60,included study,2,1616,1421,3,4,3,3,6,8,16,34,50,53,62,69,86,99,101,115,139,115,144,145,166,2012,0.00040378498386028526,0.0028166680473862976,0.011102936258444251,2025,709,True,0.009639307710086604,0.0020189249193014263,5.499429994794461,False
61,propensity score matching,3,1160,976,0,0,0,0,1,3,4,4,11,14,11,15,24,38,62,81,89,100,123,156,240,2016,0.0,0.0010790590604992446,0.016052437964015787,2025,708,True,0.009625712071567441,0.001,16.052437964015787,False
62,md,1,3429,1446,4,3,3,7,7,24,37,45,41,56,56,84,98,89,93,100,122,124,132,148,173,2010,0.000406360786434226,0.0022101482641127177,0.011571132365728045,2025,699,True,0.009503351324894974,0.0020318039321711298,5.695004415787035,True
63,lower rate,2,1570,1405,8,10,17,13,22,17,33,35,43,52,54,69,74,82,98,104,138,103,118,160,155,2021,0.0014016500864970896,0.008615307778748908,0.010798407234932847,2024,674,True,0.009163460361915897,0.007008250432485448,1.5408135509654204,False
64,tja,1,3398,1354,3,5,6,9,8,11,15,23,44,35,48,73,76,87,107,133,135,142,112,142,140,2015,0.0005607796864630085,0.003551609322974473,0.009822231444974752,2022,671,True,0.009122673446358408,0.0028038984323150423,3.503062497476064,False
65,this retrospective cohort study,4,1015,1009,0,3,3,5,4,4,10,16,15,14,28,30,30,54,58,65,105,98,85,124,258,2015,0.0002366823271146366,0.0020717721050684426,0.01725637081131697,2025,670,True,0.009109077807839245,0.001183411635573183,14.581883676476513,False
66,pro,1,2082,1109,4,6,4,7,8,4,11,10,31,16,27,31,59,72,76,94,115,125,113,138,158,2017,0.0005649425199843515,0.004103776865827363,0.010567854992977058,2025,649,True,0.008823569398936821,0.0028247125999217573,3.7412142365456154,False
67,inception,1,1035,1029,2,1,1,1,4,5,12,8,14,16,34,40,32,54,67,90,117,108,132,129,162,2013,0.0001637333386980069,0.0010490034467256107,0.010835395625710655,2025,648,True,0.008809973760417658,0.001,10.835395625710655,False
68,rr,1,4390,1620,9,14,9,15,25,24,32,50,66,86,96,96,103,104,126,130,108,118,98,119,192,2015,0.0012910425760927692,0.007103218645948946,0.012841950371212628,2025,635,True,0.008633230459668538,0.006455212880463846,1.9893922336903405,False
69,prisma guideline,2,858,856,0,0,0,0,0,0,1,0,5,5,7,22,23,40,43,77,110,104,101,126,192,2016,0.0,0.0015826199553988921,0.012841950371212628,2025,633,True,0.008606039182630212,0.001,12.841950371212628,False
70,this meta analysis,3,1783,1436,7,4,4,6,5,8,6,21,45,52,76,101,126,109,109,130,123,101,130,117,156,2013,0.0006125137399621302,0.0033717967930466056,0.01043408467661026,2025,627,True,0.008524465351515234,0.0030625686998106507,3.406971630466728,False
71,independent predictor,2,1812,1413,3,18,6,21,19,22,22,32,55,53,67,102,76,93,94,108,116,101,107,97,201,2018,0.001078749245790445,0.006462821403752606,0.01344391679486322,2025,622,True,0.008456487158919418,0.005393746228952225,2.4925008007792018,False
72,hhs,1,2261,1425,12,11,9,15,32,44,41,35,51,54,66,69,80,92,90,122,126,111,103,109,153,2020,0.0012987699838145912,0.007257153054547618,0.010233429202060064,2025,602,True,0.008184574388536158,0.006493849919072956,1.5758647535114207,False
