pozycja,term,n,y0,peak_year,docs_total,prevalence_2021_2025_pct,peak_share_pct
1,systematic review,2,2014,2025,9914,6.525,7.056
2,meta analysis,2,2014,2025,7393,4.775,5.291
3,retrospective cohort study,3,2017,2025,4265,3.292,4.374
4,patient reported outcome,3,2010,2025,3023,2.447,3.204
5,periprosthetic joint infection,3,2011,2024,3099,2.344,2.578
6,patient reported outcome measure,4,2011,2024,2158,2.042,2.646
7,readmission,1,2016,2022,2418,1.63,1.819
8,postoperative outcome,2,2022,2025,2094,1.621,2.595
9,clinical efficacy,2,2020,2025,1833,1.4,2.027
10,surgical site infection,3,2017,2025,2119,1.179,1.418
11,md,1,2010,2025,1446,0.95,1.157
12,reverse total shoulder arthroplasty,4,2013,2025,1151,0.806,1.057
13,chronic limb threatening ischemia,4,2019,2025,656,0.76,0.977
14,reverse shoulder arthroplasty,3,2011,2024,1090,0.617,0.79
15,adult spinal deformity,3,2017,2025,828,0.594,0.742
16,editorial commentary,2,2015,2024,867,0.564,0.911
17,tranexamic acid,2,2015,2021,1194,0.557,0.768
18,cross sectional study,3,2018,2025,903,0.508,0.629
19,direct anterior approach,3,2015,2023,716,0.498,0.533
20,femoroacetabular impingement syndrome,3,2018,2022,453,0.442,0.477
21,peripheral artery disease,3,2014,2025,566,0.411,0.522
22,covid 19,2,2020,2020,422,0.382,0.839
23,enhanced recovery,2,2018,2025,427,0.381,0.468
24,lumbar degenerative disease,3,2019,2023,505,0.368,0.421
25,secondary analysis,2,2020,2025,464,0.359,0.515
26,proximal junctional kyphosis,3,2016,2025,491,0.345,0.401
27,artificial intelligence,2,2021,2025,275,0.343,0.582
28,covid 19 pandemic,3,2020,2021,323,0.329,0.506
29,percutaneous kyphoplasty,2,2016,2024,477,0.325,0.364
30,machine learning,2,2019,2023,285,0.322,0.391
31,frailty,1,2020,2025,303,0.31,0.441
32,network meta analysis,3,2017,2024,349,0.298,0.412
33,study protocol,2,2019,2025,471,0.296,0.388
34,anatomic total shoulder arthroplasty,4,2017,2023,400,0.292,0.338
35,robotic assisted total knee arthroplasty,5,2021,2025,244,0.292,0.609
36,narrative review,2,2019,2025,316,0.283,0.348
37,scoping review,2,2021,2025,237,0.269,0.408
38,mid term outcome,3,2016,2025,340,0.223,0.288
39,adult spinal deformity surgery,4,2016,2025,288,0.223,0.288
40,adductor canal block,3,2016,2019,288,0.192,0.226
41,oblique lumbar interbody fusion,4,2019,2024,199,0.19,0.223
42,percutaneous endoscopic lumbar discectomy,4,2016,2018,323,0.188,0.25
43,femoral neck system,3,2022,2024,124,0.167,0.256
44,early onset scoliosis,3,2013,2020,357,0.159,0.268
45,open wedge high tibial osteotomy,5,2016,2019,307,0.155,0.206
46,rivaroxaban,1,2008,2012,355,0.071,0.315
47,clinical article,2,2012,2013,90,0.001,0.217
