term,y0_d1,y0_d2,roznica
database,2016,2019,3
cohort study,2019,2022,3
patient reported,2018,2018,0
systematic review,2014,2018,4
meta analysis,2014,2018,4
a systematic review,2014,2017,3
patient reported outcome,2010,2011,1
retrospective cohort study,2017,2017,0
registry,2018,2019,1
systematic review and,2013,2013,0
and meta analysis,2012,2014,2
review and meta,2012,2014,2
single center,2015,2015,0
joint infection,2017,2016,1
readmission,2014,2014,0
revision rate,2020,2019,1
90 day,2017,2016,1
periprosthetic joint infection,2011,2010,1
reported outcome measure,2011,2012,1
outcome between,2021,2020,1
postoperative outcome,2022,2022,0
a retrospective cohort,2016,2017,1
patient specific,2015,2014,1
propensity,2016,2019,3
undergoing primary,2022,2022,0
meta analysis of,2014,2021,7
clinically important,2017,2021,4
return to sport,2018,2021,3
a single center,2016,2016,0
reoperation rate,2020,2020,0
commentary,2010,2011,1
and patient reported,2012,2012,0
robotic,2020,2019,1
clinical efficacy,2019,2021,2
retrospective comparative,2018,2018,0
propensity score,2012,2013,1
clinically important difference,2016,2017,1
and reoperation,2017,2013,4
editor,2013,2013,0
cone beam,2010,2019,9
md,2010,2012,2
for periprosthetic,2015,2017,2
reverse total shoulder,2013,2013,0
of periprosthetic joint,2011,2011,0
reverse shoulder arthroplasty,2011,2011,0
risk factor of,2015,2022,7
tranexamic acid,2013,2013,0
printed,2015,2017,2
following primary,2022,2022,0
day readmission,2013,2013,0
propensity score matching,2014,2017,3
editorial commentary,2015,2015,0
opioid consumption,2014,2013,1
3d printed,2015,2016,1
matched cohort,2020,2020,0
clinical efficacy of,2018,2020,2
opioid use,2017,2016,1
arthroplasty a systematic,2011,2014,3
robot,2022,2022,0
adult spinal deformity,2017,2016,1
disparity,2022,2022,0
china,2014,2015,1
payment,2016,2016,0
direct anterior,2015,2015,0
for periprosthetic joint,2012,2013,1
center study,2021,2019,2
analysis of randomized,2013,2020,7
retrospective observational,2015,2016,1
study from,2020,2021,1
spinopelvic,2017,2015,2
single center retrospective,2014,2016,2
personalized,2014,2020,6
following primary total,2022,2018,4
initiative,2015,2015,0
robotic assisted,2018,2020,2
3d printing,2014,2016,2
direct anterior approach,2014,2014,0
arthroplasty outcome,2022,2022,0
biomarker,2014,2019,5
updated,2022,2022,0
a propensity,2016,2017,1
of tranexamic acid,2015,2013,2
narrative,2014,2015,1
percutaneous endoscopic,2017,2019,2
joint infection in,2014,2012,2
robot assisted,2022,2019,3
lateral lumbar,2016,2021,5
retrospective observational study,2015,2017,2
propensity score matched,2016,2017,1
covid 19,2020,2020,0
single center study,2016,2014,2
sport after,2018,2017,1
a nationwide,2018,2018,0
machine learning,2019,2018,1
endoscopic lumbar,2016,2020,4
hip arthroscopy for,2016,2018,2
patient acceptable,2018,2019,1
proximal junctional,2016,2016,0
posterior tibial slope,2021,2021,0
dual mobility,2011,2011,0
postoperative opioid,2017,2017,0
national joint,2012,2014,2
minimally invasive transforaminal,2013,2019,6
fracture a retrospective,2023,2019,4
aseptic revision,2013,2013,0
lateral lumbar interbody,2013,2019,6
cohort analysis,2018,2013,5
pandemic,2020,2020,0
invasive transforaminal lumbar,2013,2019,6
for femoroacetabular impingement,2013,2018,5
postoperative complication in,2023,2021,2
after hip arthroscopy,2014,2014,0
enhanced recovery,2016,2018,2
multicenter retrospective,2011,2011,0
proximal junctional kyphosis,2016,2016,0
fracture a systematic,2014,2019,5
shoulder arthroplasty a,2022,2022,0
to sport after,2013,2017,4
percutaneous kyphoplasty,2016,2022,6
the direct anterior,2015,2015,0
propensity matched,2016,2019,3
of robotic,2018,2020,2
randomized control,2016,2022,6
a retrospective comparative,2021,2020,1
short stem,2011,2014,3
anatomic total shoulder,2015,2015,0
cage subsidence,2021,2022,1
a propensity score,2016,2017,1
in reverse,2013,2013,0
secondary analysis,2019,2022,3
open wedge high,2015,2016,1
prediction model,2018,2019,1
joint infection after,2014,2015,1
endoscopic lumbar discectomy,2016,2020,4
frailty,2017,2018,1
meta analysis and,2017,2019,2
surgery a systematic,2015,2018,3
arthroplasty a meta,2013,2013,0
after reverse,2011,2013,2
femoroacetabular impingement syndrome,2018,2018,0
narrative review,2017,2015,2
bundled,2015,2015,0
joint replacement registry,2012,2017,5
database study,2014,2014,0
interbody fusion a,2022,2022,0
mid term outcome,2013,2016,3
recovery after surgery,2018,2019,1
covid 19 pandemic,2020,2020,0
adductor canal,2014,2021,7
after arthroscopic rotator,2015,2014,1
lateral interbody fusion,2012,2015,3
a retrospective observational,2016,2016,0
the covid 19,2020,2020,0
analysis from,2017,2018,1
a matched cohort,2016,2015,1
neck fracture a,2023,2023,0
artificial intelligence,2020,2019,1
local infiltration,2013,2018,5
distal femur fracture,2023,2023,0
primary total joint,2015,2015,0
tranexamic acid in,2014,2014,0
early onset scoliosis,2018,2014,4
robotic assisted total,2020,2021,1
in adult spinal,2021,2021,0
bundled payment,2015,2015,0
reported outcome after,2014,2017,3
network meta analysis,2017,2019,2
patient specific instrumentation,2013,2014,1
matched analysis,2018,2018,0
hounsfield unit,2022,2017,5
enhanced recovery after,2018,2019,1
growing rod,2010,2011,1
matched cohort study,2018,2019,1
national joint registry,2015,2020,5
for adult spinal,2016,2020,4
arthroscopy for femoroacetabular,2018,2019,1
comparison of clinical,2020,2023,3
a multicenter retrospective,2016,2019,3
root tear,2018,2018,0
reported outcome in,2017,2017,0
robotic arm,2018,2021,3
fracture related,2021,2020,1
and systematic review,2018,2019,1
biportal,2022,2022,0
full endoscopic,2017,2022,5
a narrative review,2019,2019,0
anterolateral ligament,2016,2016,0
secondary analysis of,2019,2019,0
learning model,2021,2021,0
posterior root,2018,2019,1
oblique lumbar interbody,2019,2022,3
joint infection a,2018,2018,0
lateral extra articular,2019,2021,2
augmented reality,2019,2023,4
registry study,2018,2018,0
nomogram,2020,2021,1
in reverse shoulder,2017,2022,5
biportal endoscopic,2022,2022,0
a scoping review,2021,2020,1
liposomal bupivacaine,2015,2016,1
deep learning,2020,2019,1
a propensity matched,2020,2021,1
assisted total hip,2021,2022,1
a qualitative study,2022,2017,5
robotic arm assisted,2019,2021,2
reported outcome following,2021,2021,0
after reverse shoulder,2020,2020,0
a network meta,2019,2020,1
of covid 19,2020,2020,0
during the covid,2020,2020,0
unilateral biportal,2022,2023,1
development and validation,2023,2023,0
a nomogram,2023,2023,0
matched cohort analysis,2022,2022,0
bibliometric,2023,2018,5
femoral neck system,2022,2023,1
vertebral bone quality,2023,2023,0
