term,n,y0,peak_year,peak_share,baseline_share,threshold,exceedance,prevalence_2021_2025,docs_total,occurrences
cohort,1,2021,2025,0.2158384054578289,0.028376918701979687,0.14188459350989843,1.52122510357526,0.17822522534770846,28189,46746
were included,2,2019,2025,0.19142532272088825,0.02497557083284048,0.1248778541642024,1.5329004810507258,0.17822522534770846,27838,31228
aimed to,2,2016,2025,0.16895190957126613,0.007078222851017345,0.035391114255086724,4.773851095885823,0.1223471510339483,14541,14651
regression,1,2019,2025,0.1358437562704836,0.017491182451541746,0.08745591225770873,1.5532827085513565,0.11157940532677117,17714,23005
ci,1,2016,2025,0.13758277038325195,0.013000206612862946,0.06500103306431473,2.1166243657561843,0.10880589506886192,17520,61474
database,1,2016,2024,0.11291084565026659,0.0128721417620372,0.064360708810186,1.754344346692416,0.10633148885837423,17568,21812
95 ci,2,2016,2025,0.12420573874657213,0.011059980546446893,0.055299902732234466,2.246039009290558,0.09719521977349667,15662,49573
demographic,1,2018,2025,0.1122332954317437,0.012254869165090096,0.06127434582545048,1.8316522831832056,0.09537340421192882,14611,17035
cohort study,2,2019,2025,0.11397230954451207,0.011592588659876802,0.05796294329938401,1.9662961032850672,0.08842603292863649,13230,15439
study aimed to,3,2015,2025,0.1270818005484583,0.002856621257440703,0.014283106287203515,8.897350337742227,0.08491835819069242,9308,9320
method this,2,2020,2025,0.11872115577553341,0.010498394853647832,0.052491974268239164,2.261701096797324,0.08423857626473427,11830,11841
patient reported,2,2018,2025,0.09517758009497693,0.009083660243123083,0.045418301215615416,2.0955777197200325,0.08132910962163338,11372,17470
result a,2,2021,2025,0.08842217911845361,0.013721730577276875,0.06860865288638437,1.2887904863090716,0.0810979837668076,12542,12552
vas,1,2021,2025,0.08822152364390341,0.013154613022029376,0.06577306511014688,1.3413016938797548,0.07941212459043138,13393,29871
systematic,1,2018,2025,0.08668316500568524,0.009933452333663481,0.049667261668317406,1.7452777160247626,0.0784876211711283,12645,24955
result a total,3,2016,2025,0.08073038592736272,0.006083932577586136,0.03041966288793068,2.6538882506614936,0.07302217448642476,10345,10345
this study aimed,3,2014,2025,0.11096247742625912,0.002180472967731167,0.010902364838655835,10.177835641018577,0.07194811904341088,7794,7800
systematic review,2,2014,2025,0.07611531001270817,0.005702731557570454,0.02851365778785227,2.6694333844862137,0.07054776827593708,10854,21190
patient reported outcome,3,2010,2025,0.07986087887097854,0.000352246186514001,0.0017612309325700049,45.34378620891287,0.06717604992318464,8040,12255
aim to,2,2020,2025,0.10199986622968363,0.007140858374133092,0.035704291870665456,2.8567956647667456,0.06710807173058883,9072,9247
a systematic,2,2015,2025,0.07243662631262122,0.006042881991683335,0.030214409958416677,2.3974198540469236,0.06542221255421261,10048,13655
inclusion,1,2019,2025,0.07183465988897064,0.01013505194136437,0.050675259706821844,1.41754892435806,0.06253993718815004,11228,12540
primary outcome,2,2015,2025,0.08360644772924888,0.004719550500771063,0.023597752503855315,3.542983498771316,0.06195532473182603,8745,9314
odd,1,2016,2025,0.06969433482710187,0.007484976385614478,0.03742488192807239,1.8622459507300189,0.06176498579255775,9978,15169
001 and,2,2019,2025,0.07123269346532005,0.008969280411503093,0.044846402057515465,1.5883703083686445,0.06065014343398638,9655,11894
a systematic review,3,2014,2025,0.06374155574877935,0.0038098814549793435,0.019049407274896717,3.346117536831599,0.05910024064280179,8794,11344
meta analysis,2,2014,2025,0.06340712995786235,0.004033284001913484,0.02016642000956742,3.144193660936375,0.05836607616276698,8831,20724
ci 0,2,2015,2025,0.07558022874724099,0.004822029836142768,0.02411014918071384,3.134788929788084,0.057699889875327995,8815,20928
retrospective cohort,2,2017,2025,0.07932579760551134,0.00402832765291844,0.0201416382645922,3.9383984839486157,0.056924938479735704,7257,8015
were collected,2,2023,2025,0.06454417764698013,0.01096620713541843,0.05483103567709215,1.1771467901334212,0.05678898209454407,8710,9114
logistic regression,2,2018,2025,0.07190154504715404,0.0064153565773455365,0.03207678288672768,2.2415447740211047,0.0566666213478716,8286,9961
scale vas,2,2020,2025,0.062203197110561166,0.008107410842714581,0.040537054213572905,1.5344774877532628,0.0556741397359727,9067,9124
participant,1,2023,2025,0.062403852585111365,0.010056355324336226,0.05028177662168113,1.241082888829415,0.05224803882914361,9008,16569
ci 1,2,2014,2025,0.06521302922881413,0.004237066664025403,0.021185333320127012,3.078215869601581,0.05212567808247114,8091,17967
95 ci 0,3,2015,2025,0.0680890910307003,0.00418394307158895,0.02091971535794475,3.254780950202646,0.05159544818022378,7852,17674
pubmed,1,2012,2025,0.06099926426325998,0.0017207910968504176,0.008603955484252088,7.089676878838761,0.051337131048359685,7328,7410
odd ratio,2,2017,2025,0.05598287739950505,0.006727358184292789,0.03363679092146395,1.6643346724191177,0.05121477030168722,8500,10267
comorbidity,1,2019,2025,0.06059795331415959,0.006968211364076653,0.034841056820383264,1.739268519510224,0.05023588432830748,8354,12781
