term,n,y0,peak_year,peak_share,baseline_share,threshold,exceedance,prevalence_2021_2025,docs_total,occurrences
patient reported outcome,3,2010,2025,0.07986087887097854,0.000352246186514001,0.0017612309325700049,45.34378620891287,0.06717604992318464,8040,12255
reported outcome measure,3,2011,2024,0.03738948505095498,7.810059356451109e-05,0.001,37.38948505095498,0.03076692996886599,3351,4182
web of science,3,2012,2025,0.03136913918801418,3.9050296782255544e-05,0.001,31.369139188014177,0.02312618112109635,2604,2638
propensity score,2,2012,2025,0.029630125075245803,0.00020872875610184494,0.0010436437805092247,28.391033059947322,0.018829959349040828,2126,3295
prom,1,2013,2025,0.02762357032974383,8.2263427085854e-05,0.001,27.623570329743828,0.021929764931410002,2226,7270
scopus,1,2013,2025,0.02468062336967427,0.0,0.001,24.68062336967427,0.015961279621497425,1703,1720
and patient reported,3,2012,2025,0.024413082736940674,0.0001577882180764244,0.001,24.413082736940673,0.019428167443884002,2243,2634
prisma,1,2013,2025,0.023677345996923282,0.0,0.001,23.677345996923282,0.01923782850461572,2117,2164
question purpose,2,2009,2014,0.023609145751098532,0.0,0.001,23.60914575109853,0.006498715212159939,2697,2697
pubmed embase,2,2010,2025,0.02300849441508929,8.2263427085854e-05,0.001,23.008494415089288,0.016899378679319673,2219,2224
outcome measure prom,3,2013,2024,0.021866774650739017,0.0,0.001,21.866774650739018,0.017565564966758665,1772,1814
of evidence iii,3,2011,2022,0.020820363837587327,7.810059356451109e-05,0.001,20.820363837587326,0.01902029828830911,2469,2471
propensity score matching,3,2014,2025,0.020600628720486923,0.0,0.001,20.600628720486924,0.011991353173901813,1236,1583
of evidence iv,3,2010,2022,0.020543681261672546,0.0001611575361240662,0.001,20.543681261672546,0.017470395497124522,2819,2821
personalized,1,2014,2025,0.01779145207678416,0.00020278363548026246,0.0010139181774013123,17.547226663184915,0.00904109961524343,936,1400
question purpose we,3,2009,2012,0.017231380995774998,0.0,0.001,17.231380995774998,0.0008429295881881093,1260,1260
for systematic review,3,2015,2024,0.017142471485455894,7.88941090382122e-05,0.001,17.142471485455893,0.014452163745870324,1633,1683
see instruction for,3,2012,2017,0.016901996244000836,0.0,0.001,16.901996244000834,0.014724076516253586,2655,2656
instruction for author,3,2012,2017,0.016901996244000836,0.0,0.001,16.901996244000834,0.014724076516253586,2744,2745
minimal clinically important,3,2015,2025,0.016855059862216575,0.0001637333386980069,0.001,16.855059862216574,0.013690807988797194,1418,1741
aimed to assess,3,2011,2025,0.016587519229482976,0.0001637333386980069,0.001,16.587519229482975,0.01033268527456392,1182,1184
trial registration,2,2010,2025,0.025750785900608655,0.00031478292067914766,0.0015739146033957384,16.360980351189987,0.018938724457194134,2652,2768
comorbidity index,2,2013,2024,0.01619761085239927,0.0001585817335501255,0.001,16.19761085239927,0.012956643508762388,1581,1919
prisma guideline,2,2016,2025,0.016186208280382582,0.0,0.001,16.186208280382584,0.011855396788710181,1247,1251
printed,1,2015,2025,0.01578489733128219,0.0001603640206503651,0.001,15.784897331282188,0.012018544450940138,1459,3522
periprosthetic joint infection,3,2011,2024,0.028008368765607073,0.0003554202484088054,0.001777101242044027,15.760705188294036,0.02565496988566068,3389,14020
risk of bias,3,2012,2025,0.015584241856731991,4.241961482989734e-05,0.001,15.58424185673199,0.013690807988797194,1809,2747
secondary outcome included,3,2015,2025,0.02474750852785767,0.0003181522387267895,0.0015907611936339476,15.557023032051884,0.013554851603605563,1528,1529
item for systematic,3,2015,2024,0.015522710400215968,0.0,0.001,15.522710400215969,0.013160578086549834,1460,1463
reporting item for,3,2015,2024,0.015522710400215968,0.0,0.001,15.522710400215969,0.01322855627914565,1468,1471
preferred reporting item,3,2015,2024,0.015522710400215968,0.0,0.001,15.522710400215969,0.013255747556183976,1474,1477
3d printed,2,2015,2025,0.014781619958531202,0.0,0.001,14.781619958531202,0.010699767514581323,1208,2971
mcid,1,2016,2025,0.014447194167614207,0.00012210723934181065,0.001,14.447194167614207,0.01180101423463353,1188,4601
cite this article,3,2016,2017,0.014258885720247617,0.0,0.001,14.258885720247617,0.005220725191358612,1284,1284
bone joint j,3,2016,2017,0.014258885720247617,0.0,0.001,14.258885720247617,0.004717686566149579,1243,1243
this article bone,3,2016,2017,0.014258885720247617,0.0,0.001,14.258885720247617,0.004717686566149579,1242,1242
article bone joint,3,2016,2017,0.014189330180148849,0.0,0.001,14.189330180148849,0.004717686566149579,1241,1241
of periprosthetic joint,3,2011,2023,0.013974455296769347,0.0001577882180764244,0.001,13.974455296769348,0.011474718910173617,1545,2997
review and meta,3,2012,2025,0.04628452946291218,0.000681299894857417,0.003406499474287085,13.587123618329235,0.040827702473046644,5054,7189
editorial commentary,2,2015,2024,0.01343051899844773,0.0,0.001,13.43051899844773,0.008524465351515234,1223,1226
this retrospective cohort,3,2015,2025,0.018460303658618154,0.0002765261393705932,0.001382630696852966,13.351579493089533,0.009788859733797398,1092,1099
covid 19,2,2020,2020,0.012848729998215454,0.0,0.001,12.848729998215454,0.0067706279825432,714,2528
finding highlight,2,2022,2025,0.012775065213029228,0.00011953143676786995,0.001,12.775065213029228,0.004269030495017198,405,407
aim to compare,3,2014,2025,0.01270818005484583,0.0001611575361240662,0.001,12.70818005484583,0.007871874702595408,915,918
clinicaltrial gov,2,2010,2025,0.012373754263928834,0.00019763203033238102,0.001,12.373754263928834,0.009136269084877571,1438,1516
and meta analysis,3,2012,2025,0.04708715136111297,0.0007627698064695699,0.0038138490323478495,12.346359533829155,0.04131714545973652,5200,7433
cohort study background,3,2012,2025,0.012239983947562035,0.0001637333386980069,0.001,12.239983947562035,0.007858279064076244,994,994
important difference mcid,3,2016,2025,0.012039328473011838,8.2263427085854e-05,0.001,12.039328473011839,0.010128750696776474,1042,1059
unclear this,2,2019,2025,0.012039328473011838,0.00019941431743262063,0.001,12.039328473011839,0.004867238589860373,487,488
curve auc,2,2015,2025,0.012039328473011838,0.00019941431743262063,0.001,12.039328473011839,0.00810300055742118,866,871
