ui,name,year,trees
D065526,Acetabuloplasty,2015,E04.555.039;E04.617.038
D064728,Alveolar Bone Grafting,2014,E04.545.562.500;E04.555.580.289.500;E06.645.562.124
D000671,"Amputation, Surgical",1966,E04.555.080
D059549,Anterior Cruciate Ligament Reconstruction,2012,E04.555.110.026;E04.617.101.026
D001174,Arthrodesis,1966,E04.555.100
D001178,Arthroplasty,1966,E04.555.110;E04.617.101
D019643,"Arthroplasty, Replacement",1998,E04.555.110.110;E04.617.101.110;E04.650.110
D058737,"Arthroplasty, Replacement, Ankle",2011,E04.555.110.110.010;E04.617.101.110.010;E04.650.110.010
D057929,"Arthroplasty, Replacement, Elbow",2011,E04.555.110.110.045;E04.617.101.110.045;E04.650.110.045
D050806,"Arthroplasty, Replacement, Finger",2006,E04.555.110.110.054;E04.617.101.110.054;E04.650.110.054
D019644,"Arthroplasty, Replacement, Hip",1998,E04.555.110.110.110;E04.617.101.110.110;E04.650.110.110
D019645,"Arthroplasty, Replacement, Knee",1998,E04.555.110.110.115;E04.617.101.110.115;E04.650.110.115
D000072228,"Arthroplasty, Replacement, Shoulder",2017,E04.555.110.110.299;E04.617.101.110.299;E04.650.110.299
D054544,"Arthroplasty, Subchondral",2008,E04.555.110.115;E04.617.101.115
D001182,Arthroscopy,1982,E01.370.388.250.070;E04.502.250.070;E04.555.113
D001852,Bone Lengthening,1972,E04.555.120
D016025,Bone Transplantation,1990,E02.095.147.725.052;E04.555.130;E04.936.580.052
D050376,Bone-Patellar Tendon-Bone Grafting,2006,E02.095.147.725.065;E04.555.110.026.500;E04.617.101.026.500;E04.936.580.065
D060826,Cementoplasty,2012,E02.718.275;E04.555.165
D000070628,Closed Fracture Reduction,2017,E02.718.472.150
D004188,Disarticulation,1972,E04.555.080.250
D017586,Diskectomy,1994,E02.718.444;E04.188.350;E04.555.200
D017587,"Diskectomy, Percutaneous",1994,E02.718.444.200;E04.188.350.200;E04.555.200.200
D005592,Fracture Fixation,1966,E02.718.472;E04.555.300
D005593,"Fracture Fixation, Internal",1972,E02.718.472.300;E04.555.300.300
D005594,"Fracture Fixation, Intramedullary",1970,E02.718.472.300.300;E04.555.300.300.300
D062785,Hemiarthroplasty,2013,E04.555.110.110.482;E04.617.101.110.482;E04.650.110.482
D006428,Hemipelvectomy,1991,E04.555.080.380
D018889,Ilizarov Technique,1996,E02.718.472.380;E04.555.120.380
D007404,Intervertebral Disc Chemolysis,1987,E02.718.500
D057913,Joint Capsule Release,2011,E04.502.250.070.500;E04.555.113.500
D058498,Kyphoplasty,2011,E02.718.275.500.500;E04.555.165.500.500
D007796,Laminectomy,1967,E02.718.563;E04.188.400;E04.525.450;E04.555.350
D065406,Laminoplasty,2015,E02.718.594;E04.525.475
D023821,Limb Salvage,2002,E04.100.814.603;E04.555.400;E04.617.350
D008349,"Manipulation, Orthopedic",1966,E02.718.625;E02.779.867.433;E02.831.535.867.433
D000074403,Meniscectomy,2018,E04.555.490
D000070799,Open Fracture Reduction,2017,E02.718.472.690;E04.555.300.690
D056948,Orthognathic Surgical Procedures,2010,E04.545.562;E04.555.580.289;E06.645.562
D019637,Orthopedic Procedures,1998,E02.718;E04.555
D019857,"Osteogenesis, Distraction",1998,E04.555.120.690
D010027,Osteotomy,1965,E04.555.580
D019340,"Osteotomy, Le Fort",1997,E04.545.575;E04.555.580.580;E06.645.575
D059229,"Osteotomy, Sagittal Split Ramus",2012,E04.545.637;E04.555.580.790;E06.645.637
D000072229,Posterior Cruciate Ligament Reconstruction,2017,E02.718.688;E04.555.110.557;E04.617.101.557
D059546,Sinus Floor Augmentation,2012,E04.545.668;E04.555.130.550;E06.645.668
D013123,Spinal Fusion,1966,E04.555.100.700
D000074402,Synovectomy,2018,E04.555.640
D013709,Tendon Transfer,1973,E04.555.700
D053656,Tenodesis,2007,E04.555.710;E04.987.775.900
D058971,Tenotomy,2011,E04.555.712
D059145,Total Disc Replacement,2012,E04.555.110.110.850;E04.617.101.110.850;E04.650.110.850
D014143,Traction,1966,E04.555.720
D000070638,Ulnar Collateral Ligament Reconstruction,2017,E02.718.750;E04.555.860;E04.617.900
D054854,Vertebroplasty,2008,E02.718.275.500;E04.555.165.500
D055676,Viscosupplementation,2009,E02.319.267.530.380.500;E02.718.875
