nlm_unique_id,title,medlineabbr,issn,country,startyear,endyear,currently_indexed,broad_headings,catalog_uid
0407123,Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca,Acta Chir Orthop Traumatol Cech,0001-5415,Czech Republic,1950,9999,1,Orthopedics;Traumatology,407123
101231512,Acta orthopaedica,Acta Orthop,1745-3674;1745-3682,Sweden,2005,9999,1,Orthopedics,101231512
2985165R,Acta orthopaedica Belgica,Acta Orthop Belg,0001-6462,Belgium,1946,9999,1,Orthopedics,446032
9424806,Acta orthopaedica et traumatologica turcica,Acta Orthop Traumatol Turc,1017-995X;2589-1294,Turkey,1962,9999,1,Orthopedics;Traumatology,9424806
0370352,Acta orthopaedica Scandinavica,Acta Orthop Scand,0001-6470,England,1930,2004,0,Orthopedics,370352
0370353,Acta orthopaedica Scandinavica. Supplementum,Acta Orthop Scand Suppl,0300-8827,Sweden,1934,2004,0,Orthopedics,370353
101244827,Acta orthopaedica. Supplementum,Acta Orthop Suppl,1745-3690;1745-3704,Sweden,2005,2015,0,Orthopedics,101244827
101190312,Acta ortopédica mexicana,Acta Ortop Mex,2306-4102,Mexico,2002,9999,1,Orthopedics,101190312
7705398,Aktuelle Probleme in Chirurgie und Orthopädie,Aktuelle Probl Chir Orthop,0378-8504,Switzerland,1977,0,0,General Surgery;Orthopedics,7705398
0002266,Archiv für orthopädische und Unfall-Chirurgie,Arch Orthop Unfallchir,0003-9330,Germany,1918,1977,0,Orthopedics;Traumatology,2266
9011043,Archives of orthopaedic and trauma surgery,Arch Orthop Trauma Surg,0936-8051;1434-3916,Germany,1989,9999,1,General Surgery;Orthopedics;Traumatology,9011043
7803037,Archives of orthopaedic and traumatic surgery.  Archiv für orthopädische und Unfall-Chirurgie,Arch Orthop Trauma Surg (1978),0344-8444,Germany,1978,1988,0,General Surgery;Orthopedics;Traumatology,7803037
101318988,Archives of osteoporosis,Arch Osteoporos,1862-3514;1862-3522,England,2006,9999,1,Metabolism;Orthopedics,101318988
0372453,"Archivio ""Putti"" di chirurgia degli organi di movimento",Arch Putti Chir Organi Mov,0066-670X,Italy,1951,1993,0,Orthopedics,372453
7508491,Archivio di ortopedia,Arch Ortop,0004-0118,Italy,1884,1973,0,Orthopedics,7508491
8506498,Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association,Arthroscopy,0749-8063;1526-3231,United States,1985,9999,1,Orthopedics,8506498
0370606,Artificial limbs,Artif Limbs,0004-3729,United States,1954,1972,0,Biomedical Engineering;Orthopedics;Physical and Rehabilitation Medicine,370606
0372503,Beiträge zur Orthopädie und Traumatologie,Beitr Orthop Traumatol,0005-8149,Germany,1960,1990,0,Orthopedics;Traumatology,372503
100968565,BMC musculoskeletal disorders,BMC Musculoskelet Disord,1471-2474,England,2000,9999,1,Orthopedics;Physiology,100968565
8504048,Bone,Bone,8756-3282;1873-2763,United States,1985,9999,1,Metabolism;Orthopedics,8504048
8610542,Bone and mineral,Bone Miner,0169-6009,Ireland,1986,1994,0,Orthopedics,8610542
101608652,Bone research,Bone Res,2095-4700;2095-6231,China,2013,9999,1,Metabolism;Orthopedics,101608652
9215948,Bulletin,Bull Hosp Jt Dis,0018-5647,United States,1992,2006,0,Orthopedics;Rheumatology,9215948
101614130,Bulletin of the Hospital for Joint Diseases,Bull Hosp Jt Dis  (2013),2328-4633;2328-5273,Netherlands,2013,9999,1,Orthopedics;Rheumatology,101614130
8207779,Bulletin of the Hospital for Joint Diseases Orthopaedic Institute,Bull Hosp Jt Dis Orthop Inst,0883-9344,United States,1981,1991,0,Orthopedics;Rheumatology,8207779
101300541,Bulletin of the NYU hospital for joint diseases,Bull NYU Hosp Jt Dis,1936-9719;1936-9727,United States,2006,2012,0,Orthopedics;Rheumatology,101300541
101518378,Cartilage,Cartilage,1947-6035;1947-6043,United States,2009,9999,1,Biomedical Engineering;Orthopedics;Transplantation,101518378
2985137R,Chirurgia narzadów ruchu i ortopedia polska,Chir Narzadow Ruchu Ortop Pol,,Poland,1928,2011,0,Orthopedics;Traumatology,446007
0075674,Clinical orthopaedics and related research,Clin Orthop Relat Res,0009-921X;1528-1132,United States,1963,9999,1,Orthopedics,75674
101675083,Clinical spine surgery,Clin Spine Surg,2380-0186;2380-0194,United States,2016,9999,1,Orthopedics,101675083
101505087,Clinics in orthopedic surgery,Clin Orthop Surg,2005-291X;2005-4408,Korea (South),2009,9999,1,Orthopedics,101505087
8219527,Contemporary orthopaedics,Contemp Orthop,0194-8458,United States,1979,1996,0,Orthopedics,8219527
101176492,Current osteoporosis reports,Curr Osteoporos Rep,1544-1873;1544-2241,United States,2003,9999,1,Metabolism;Orthopedics,101176492
16440080R,Current practice in orthopaedic surgery,Curr Pract Orthop Surg,0070-203X,United States,1963,1979,0,Orthopedics,162399
0331266,Der Orthopäde,Orthopade,0085-4530;1433-0431,Germany,1972,2022,0,Orthopedics,331266
