pozycja,term,kategoria,wariant_do,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,w_rdzeniu_4,na_mapie
73,reverse total shoulder arthroplasty,technika,,4,2013,2025,1151,0.806,1.057,True,True
89,reverse shoulder arthroplasty,technika,,3,2011,2024,1090,0.617,0.79,True,True
105,primary anterior cruciate ligament reconstruction,technika,,5,2018,2025,906,0.556,0.742,False,True
121,direct anterior approach,technika,,3,2015,2023,716,0.498,0.533,True,True
135,cone beam computed tomography,technologia,,4,2010,2025,845,0.457,0.629,False,True
199,electronic medical record,technologia,,3,2013,2024,484,0.343,0.412,False,True
200,artificial intelligence,technologia,,2,2021,2025,275,0.343,0.582,True,True
202,lateral lumbar interbody fusion,technika,,4,2014,2023,456,0.34,0.398,False,True
217,percutaneous kyphoplasty,technika,,2,2016,2024,477,0.325,0.364,True,True
224,machine learning,technologia,,2,2019,2023,285,0.322,0.391,True,True
258,anatomic total shoulder arthroplasty,technika,,4,2017,2023,400,0.292,0.338,True,True
260,robotic assisted total knee arthroplasty,technologia,,5,2021,2025,244,0.292,0.609,True,True
287,3d printing,technologia,,2,2016,2025,358,0.265,0.328,False,True
295,medial unicompartmental knee arthroplasty,technika,,4,2014,2025,410,0.26,0.321,False,True
323,primary hip arthroscopy,technika,,3,2019,2021,256,0.241,0.275,False,True
359,adult spinal deformity surgery,technika,,4,2016,2025,288,0.223,0.288,True,True
368,endovascular therapy,technika,,2,2015,2025,386,0.216,0.288,False,True
375,robotic assistance,technologia,,2,2021,2025,204,0.213,0.301,False,True
393,primary total joint arthroplasty,technika,,4,2017,2022,309,0.204,0.242,False,True
406,mechanical alignment,technika,,2,2018,2025,298,0.2,0.281,False,True
411,patient specific instrumentation,technologia,,3,2013,2025,344,0.196,0.281,False,True
414,implant retention,technika,,2,2019,2025,255,0.196,0.288,False,True
415,transfemoral amputation,technika,,2,2015,2025,327,0.194,0.227,False,True
422,adductor canal block,technika,,3,2016,2019,288,0.192,0.226,True,True
427,oblique lumbar interbody fusion,technika,,4,2019,2024,199,0.19,0.223,True,True
428,latarjet procedure,technika,,2,2020,2024,326,0.189,0.283,False,True
437,percutaneous endoscopic lumbar discectomy,technika,,4,2016,2018,323,0.188,0.25,True,True
439,virtual surgical planning,technologia,,3,2016,2025,272,0.188,0.241,False,True
442,machine learning model,technologia,,3,2022,2024,151,0.188,0.297,False,True
452,arcr,technika,,1,2020,2024,208,0.184,0.25,False,True
485,lateral extra articular tenodesis,technika,,4,2020,2025,178,0.174,0.254,False,True
494,volar locking plate,technologia,,3,2016,2024,363,0.171,0.202,False,True
507,femoral neck system,technologia,,3,2022,2024,124,0.167,0.256,True,True
513,virtual reality,technologia,,2,2020,2025,194,0.165,0.268,False,True
518,graft type,technika,,2,2018,2025,313,0.163,0.268,False,True
547,open wedge high tibial osteotomy,technika,,5,2016,2019,307,0.155,0.206,True,True
548,open reduction internal fixation group,technika,,5,2019,2021,245,0.155,0.175,False,True
559,augmented reality,technologia,,2,2022,2023,155,0.152,0.225,False,True
578,3d printing technology,technologia,,3,2017,2019,221,0.148,0.193,False,True
584,cephalomedullary nail,technologia,,2,2021,2025,213,0.147,0.167,False,True
588,short stem,technologia,,2,2015,2021,252,0.145,0.187,False,True
621,random forest,technologia,,2,2023,2025,119,0.14,0.241,False,True
622,cervical disc arthroplasty,technika,,3,2016,2023,310,0.139,0.203,False,True
623,biomarker,technologia,,1,2020,2021,247,0.139,0.212,False,True
627,targeted muscle reinnervation,technika,,3,2021,2023,152,0.139,0.195,False,True
659,endovascular revascularization,technika,,2,2021,2024,200,0.132,0.155,False,True
664,primary unilateral total knee arthroplasty,technika,,5,2015,2016,270,0.131,0.173,False,True
668,kinematic alignment,technika,,2,2022,2025,164,0.131,0.181,False,True
681,oblique lateral interbody fusion,technika,,4,2020,2022,140,0.126,0.187,False,True
686,elective total knee arthroplasty,technika,,4,2022,2022,200,0.125,0.152,False,True
697,primary reverse total shoulder arthroplasty,technika,,5,2021,2025,141,0.122,0.161,False,True
792,dual mobility cup,technologia,,3,2016,2020,221,0.088,0.178,False,True
794,unilateral anterior cruciate ligament reconstruction,technika,,5,2017,2018,185,0.086,0.188,False,True
795,anterolateral ligament,technika,,2,2016,2017,159,0.084,0.153,False,True
807,mom total hip arthroplasty,technologia,,4,2014,2018,118,0.018,0.132,False,True
