term,y0,kategoria_ocena,kanon,grupa,zrodlo,zawiera_sie_w,klasa
3d printing,2017,technologia,3d printing,3d printing,stary,,IV. narzedzie wspomagajace
3d printing technology,2017,technologia,3d printing technology,3d printing,stary,,IV. narzedzie wspomagajace
acb,2019,technika,adductor canal block,adductor canal block,stary,,V. postepowanie okolozabiegowe
adductor canal block,2016,technika,adductor canal block,adductor canal block,stary,,V. postepowanie okolozabiegowe
anterior cervical discectomy fusion,2013,technika,anterior cervical discectomy fusion,anterior cervical discectomy fusion,nowy,,III. technika operacyjna
anterolateral ligament,2016,technika,anterolateral ligament,anterolateral ligament reconstruction,stary,,
arcr,2020,technika,arcr,arthroscopic rotator cuff repair,stary,,III. technika operacyjna
arthroscopic rotator cuff repair,2014,technika,arthroscopic rotator cuff repair,arthroscopic rotator cuff repair,nowy,,III. technika operacyjna
rcr,2019,technika,arcr,arthroscopic rotator cuff repair,stary,,III. technika operacyjna
artificial intelligence,2021,technologia,artificial intelligence,artificial intelligence / machine learning,stary,,IV. narzedzie wspomagajace
machine learning,2019,technologia,machine learning,artificial intelligence / machine learning,stary,,IV. narzedzie wspomagajace
machine learning model,2022,technologia,machine learning model,artificial intelligence / machine learning,stary,,IV. narzedzie wspomagajace
random forest,2023,technologia,random forest,artificial intelligence / machine learning,stary,,IV. narzedzie wspomagajace
augmented reality,2022,technologia,augmented reality,augmented reality,stary,,IV. narzedzie wspomagajace
aci,2010,technika,autologous chondrocyte implantation,autologous chondrocyte implantation,nowy,,VI. terapia biologiczna
autologous chondrocyte implantation,2006,technika,autologous chondrocyte implantation,autologous chondrocyte implantation,nowy,,VI. terapia biologiczna
cephalomedullary nail,2021,technologia,cephalomedullary nail,cephalomedullary nail,stary,,I. implant i material
cda,2016,technika,cervical disc arthroplasty,cervical disc arthroplasty,stary,total disc replacement,II. endoprotezoplastyka
cervical disc arthroplasty,2016,technika,cervical disc arthroplasty,cervical disc arthroplasty,stary,total disc replacement,II. endoprotezoplastyka
computer assisted navigation,2006,technologia,computer navigation,computer navigation,nowy,,IV. narzedzie wspomagajace
computer navigation,2007,technologia,computer navigation,computer navigation,nowy,,IV. narzedzie wspomagajace
daa,2015,technika,direct anterior approach,direct anterior approach,stary,,III. technika operacyjna
direct anterior approach,2014,technika,direct anterior approach,direct anterior approach,stary,,III. technika operacyjna
double bundle reconstruction,2007,technika,double bundle reconstruction,double bundle reconstruction,nowy,,III. technika operacyjna
dual mobility cup,2016,technologia,dual mobility cup,dual mobility cup,stary,,I. implant i material
femoral neck system,2022,technologia,femoral neck system,femoral neck system,stary,,I. implant i material
fns,2021,technologia,femoral neck system,femoral neck system,stary,,I. implant i material
fnb,2014,technika,femoral nerve block,femoral nerve block,stary,,V. postepowanie okolozabiegowe
fea,2020,technologia,finite element analysis,finite element analysis,decyzja Przemka 2026-09-02,,IV. narzedzie wspomagajace
finite element analysis,2020,technologia,finite element analysis,finite element analysis,decyzja Przemka 2026-09-02,,IV. narzedzie wspomagajace
highly cross linked polyethylene,2015,technologia,highly cross linked polyethylene,highly cross linked polyethylene,nowy,,I. implant i material
hip arthroscopy,2018,technika,hip arthroscopy,hip arthroscopy,nowy,,III. technika operacyjna
primary hip arthroscopy,2019,technika,primary hip arthroscopy,hip arthroscopy,stary,,III. technika operacyjna
hip resurfacing,2005,technika,hip resurfacing,hip resurfacing,nowy,,II. endoprotezoplastyka
hip resurfacing arthroplasty,2007,technika,hip resurfacing,hip resurfacing,nowy,,II. endoprotezoplastyka
kinematic alignment,2022,technika,kinematic alignment,kinematic alignment,stary,,III. technika operacyjna
balloon kyphoplasty,2006,technika,kyphoplasty,kyphoplasty,nowy,,III. technika operacyjna
kyphoplasty,2008,technika,kyphoplasty,kyphoplasty,nowy,,III. technika operacyjna
percutaneous kyphoplasty,2012,technika,percutaneous kyphoplasty,kyphoplasty,stary,,III. technika operacyjna
pkp,2016,technika,percutaneous kyphoplasty,kyphoplasty,stary,,III. technika operacyjna
labral repair,2014,technika,labral repair,labral repair,nowy,,III. technika operacyjna
latarjet procedure,2014,technika,latarjet procedure,latarjet procedure,stary,,III. technika operacyjna
lateral extra articular tenodesis,2020,technika,lateral extra articular tenodesis,lateral extra articular tenodesis,stary,,III. technika operacyjna
let,2021,technika,lateral extra articular tenodesis,lateral extra articular tenodesis,stary,,III. technika operacyjna
lateral lumbar interbody fusion,2013,technika,lateral lumbar interbody fusion,lateral lumbar interbody fusion,stary,,III. technika operacyjna
lcp,2007,technologia,locking plate,locking plate,nowy,,I. implant i material
locked plating,2011,technika,locking plate,locking plate,nowy,,I. implant i material
locking plate,2006,technologia,locking plate,locking plate,nowy,,I. implant i material
mua,2019,technika,manipulation under anesthesia,manipulation under anesthesia,stary,,III. technika operacyjna
medial patellofemoral ligament reconstruction,2018,technika,medial patellofemoral ligament reconstruction,medial patellofemoral ligament reconstruction,nowy,,III. technika operacyjna
mesenchymal stem cell,2017,technologia,mesenchymal stem cell,mesenchymal stem cell,propozycja VSC,,VI. terapia biologiczna
microfracture,2012,technika,microfracture,microfracture,propozycja VSC,,VI. terapia biologiczna
mimic software,2021,technologia,mimic software,mimic software,propozycja VSC,,IV. narzedzie wspomagajace
minimally invasive plate osteosynthesis,2014,technika,minimally invasive plate osteosynthesis,minimally invasive plate osteosynthesis,nowy,,III. technika operacyjna
mom total hip arthroplasty,2014,technologia,mom total hip arthroplasty,mom total hip arthroplasty,stary,,I. implant i material
mep,2013,technologia,motor evoked potential,motor evoked potential,stary,,V. postepowanie okolozabiegowe
oblique lateral interbody fusion,2020,technika,oblique lateral interbody fusion,oblique lumbar interbody fusion,stary,,III. technika operacyjna
oblique lumbar interbody fusion,2019,technika,oblique lumbar interbody fusion,oblique lumbar interbody fusion,stary,,III. technika operacyjna
olif,2018,technika,oblique lumbar interbody fusion,oblique lumbar interbody fusion,stary,,III. technika operacyjna
mowhto,2019,technika,open wedge high tibial osteotomy,open wedge high tibial osteotomy,stary,,III. technika operacyjna
open wedge high tibial osteotomy,2014,technika,open wedge high tibial osteotomy,open wedge high tibial osteotomy,stary,,III. technika operacyjna
owhto,2017,technika,open wedge high tibial osteotomy,open wedge high tibial osteotomy,stary,,III. technika operacyjna
patient specific instrumentation,2013,technologia,patient specific instrumentation,patient specific instrumentation,stary,,IV. narzedzie wspomagajace
psi,2013,technologia,patient specific instrumentation,patient specific instrumentation,stary,,IV. narzedzie wspomagajace
pedicle subtraction osteotomy,2012,technika,pedicle subtraction osteotomy,pedicle subtraction osteotomy,nowy,,III. technika operacyjna
pso,2014,technika,pedicle subtraction osteotomy,pedicle subtraction osteotomy,nowy,,III. technika operacyjna
peld,2016,technika,percutaneous endoscopic lumbar discectomy,percutaneous endoscopic lumbar discectomy,stary,,III. technika operacyjna
percutaneous endoscopic lumbar discectomy,2016,technika,percutaneous endoscopic lumbar discectomy,percutaneous endoscopic lumbar discectomy,stary,,III. technika operacyjna
pao,2012,technika,periacetabular osteotomy,periacetabular osteotomy,stary,,III. technika operacyjna
polyetheretherketone,2014,technologia,polyetheretherketone,polyetheretherketone,nowy,,I. implant i material
ponseti method,2006,technika,ponseti method,ponseti method,nowy,,III. technika operacyjna
pfna,2011,technologia,proximal femoral nail antirotation,proximal femoral nail antirotation,stary,cephalomedullary nail,I. implant i material
primary reverse total shoulder arthroplasty,2021,technika,primary reverse total shoulder arthroplasty,reverse shoulder arthroplasty,stary,,II. endoprotezoplastyka
reverse shoulder arthroplasty,2007,technika,reverse shoulder arthroplasty,reverse shoulder arthroplasty,stary,,II. endoprotezoplastyka
reverse total shoulder arthroplasty,2010,technika,reverse total shoulder arthroplasty,reverse shoulder arthroplasty,stary,,II. endoprotezoplastyka
robotic,2021,technologia,robotic,robotic assistance,nowy,,IV. narzedzie wspomagajace
robotic assistance,2021,technologia,robotic assistance,robotic assistance,stary,,IV. narzedzie wspomagajace
robotic assisted total knee arthroplasty,2021,technologia,robotic assisted total knee arthroplasty,robotic assistance,stary,,IV. narzedzie wspomagajace
