term,y0,kategoria_ocena,kanon,grupa,zrodlo,nadrzedny
reverse total shoulder arthroplasty,2010,technika,reverse total shoulder arthroplasty,reverse shoulder arthroplasty,stary,
reverse shoulder arthroplasty,2007,technika,reverse shoulder arthroplasty,reverse shoulder arthroplasty,stary,
direct anterior approach,2014,technika,direct anterior approach,direct anterior approach,stary,
daa,2015,technika,direct anterior approach,direct anterior approach,stary,
lateral lumbar interbody fusion,2013,technika,lateral lumbar interbody fusion,lateral lumbar interbody fusion,stary,
taa,2015,technika,total ankle arthroplasty,total ankle arthroplasty,stary,
olif,2018,technika,oblique lumbar interbody fusion,oblique lumbar interbody fusion,stary,
percutaneous kyphoplasty,2012,technika,percutaneous kyphoplasty,percutaneous kyphoplasty,stary,kyphoplasty
pkp,2016,technika,percutaneous kyphoplasty,percutaneous kyphoplasty,stary,kyphoplasty
mep,2013,technologia,motor evoked potential,motor evoked potential,stary,
electronic medical record,2013,technologia,electronic medical record,electronic medical record,stary,
artificial intelligence,2021,technologia,artificial intelligence,artificial intelligence / machine learning,stary,
machine learning,2019,technologia,machine learning,artificial intelligence / machine learning,stary,
robotic assisted total knee arthroplasty,2021,technologia,robotic assisted total knee arthroplasty,robotic assistance,stary,
medial unicompartmental knee arthroplasty,2013,technika,medial unicompartmental knee arthroplasty,unicompartmental knee arthroplasty,stary,
3d printing,2017,technologia,3d printing,3d printing,stary,
pao,2012,technika,periacetabular osteotomy,periacetabular osteotomy,stary,
primary hip arthroscopy,2019,technika,primary hip arthroscopy,hip arthroscopy,stary,
psi,2013,technologia,patient specific instrumentation,patient specific instrumentation,stary,
asd surgery,2017,technika,adult spinal deformity surgery,adult spinal deformity surgery,stary,
adult spinal deformity surgery,2016,technika,adult spinal deformity surgery,adult spinal deformity surgery,stary,
robotic assistance,2021,technologia,robotic assistance,robotic assistance,stary,
patient specific instrumentation,2013,technologia,patient specific instrumentation,patient specific instrumentation,stary,
adductor canal block,2016,technika,adductor canal block,adductor canal block,stary,
oblique lumbar interbody fusion,2019,technika,oblique lumbar interbody fusion,oblique lumbar interbody fusion,stary,
latarjet procedure,2014,technika,latarjet procedure,latarjet procedure,stary,
owhto,2017,technika,open wedge high tibial osteotomy,open wedge high tibial osteotomy,stary,
percutaneous endoscopic lumbar discectomy,2016,technika,percutaneous endoscopic lumbar discectomy,percutaneous endoscopic lumbar discectomy,stary,
fns,2021,technologia,femoral neck system,femoral neck system,stary,
peld,2016,technika,percutaneous endoscopic lumbar discectomy,percutaneous endoscopic lumbar discectomy,stary,
cda,2016,technika,cervical disc arthroplasty,cervical disc arthroplasty,stary,
machine learning model,2022,technologia,machine learning model,artificial intelligence / machine learning,stary,
lateral extra articular tenodesis,2020,technika,lateral extra articular tenodesis,lateral extra articular tenodesis,stary,
volar locking plate,2013,technologia,volar locking plate,volar locking plate,stary,locking plate
mua,2019,technika,manipulation under anesthesia,manipulation under anesthesia,stary,
femoral neck system,2022,technologia,femoral neck system,femoral neck system,stary,
tea,2013,technika,total elbow arthroplasty,total elbow arthroplasty,stary,
pfna,2011,technologia,proximal femoral nail antirotation,proximal femoral nail antirotation,stary,cephalomedullary nail
open wedge high tibial osteotomy,2014,technika,open wedge high tibial osteotomy,open wedge high tibial osteotomy,stary,
mowhto,2019,technika,open wedge high tibial osteotomy,open wedge high tibial osteotomy,stary,
augmented reality,2022,technologia,augmented reality,augmented reality,stary,
acb,2019,technika,adductor canal block,adductor canal block,stary,
cephalomedullary nail,2021,technologia,cephalomedullary nail,cephalomedullary nail,stary,
short stem,2015,technologia,short stem,short stem,stary,
let,2021,technika,lateral extra articular tenodesis,lateral extra articular tenodesis,stary,
3d printing technology,2017,technologia,3d printing technology,3d printing,stary,
cervical disc arthroplasty,2016,technika,cervical disc arthroplasty,cervical disc arthroplasty,stary,
targeted muscle reinnervation,2021,technika,targeted muscle reinnervation,targeted muscle reinnervation,stary,
kinematic alignment,2022,technika,kinematic alignment,kinematic alignment,stary,
random forest,2023,technologia,random forest,artificial intelligence / machine learning,stary,
oblique lateral interbody fusion,2020,technika,oblique lateral interbody fusion,oblique lumbar interbody fusion,stary,
primary reverse total shoulder arthroplasty,2021,technika,primary reverse total shoulder arthroplasty,reverse shoulder arthroplasty,stary,
dual mobility cup,2016,technologia,dual mobility cup,dual mobility cup,stary,
anterolateral ligament,2016,technika,anterolateral ligament,anterolateral ligament,stary,
fnb,2014,technika,femoral nerve block,femoral nerve block,stary,
mom total hip arthroplasty,2014,technologia,mom total hip arthroplasty,mom total hip arthroplasty,stary,
anterior cervical discectomy fusion,2013,technika,anterior cervical discectomy fusion,anterior cervical discectomy fusion,nowy,
unicompartmental knee arthroplasty,2018,technika,unicompartmental knee arthroplasty,unicompartmental knee arthroplasty,nowy,
hip arthroscopy,2018,technika,hip arthroscopy,hip arthroscopy,nowy,
