term,kategoria_ocena,zrodlo,kanon,grupa
reverse total shoulder arthroplasty,technika,stary,reverse total shoulder arthroplasty,reverse shoulder arthroplasty
reverse shoulder arthroplasty,technika,stary,reverse shoulder arthroplasty,reverse shoulder arthroplasty
primary anterior cruciate ligament reconstruction,technika,stary,primary anterior cruciate ligament reconstruction,primary anterior cruciate ligament reconstruction
direct anterior approach,technika,stary,direct anterior approach,direct anterior approach
daa,technika,stary,direct anterior approach,direct anterior approach
lateral lumbar interbody fusion,technika,stary,lateral lumbar interbody fusion,lateral lumbar interbody fusion
taa,technika,stary,total ankle arthroplasty,total ankle arthroplasty
olif,technika,stary,oblique lumbar interbody fusion,oblique lumbar interbody fusion
percutaneous kyphoplasty,technika,stary,percutaneous kyphoplasty,percutaneous kyphoplasty
pkp,technika,stary,percutaneous kyphoplasty,percutaneous kyphoplasty
mep,technologia,stary,motor evoked potential,motor evoked potential
electronic medical record,technologia,stary,electronic medical record,electronic medical record
artificial intelligence,technologia,stary,artificial intelligence,artificial intelligence / machine learning
machine learning,technologia,stary,machine learning,artificial intelligence / machine learning
anatomic total shoulder arthroplasty,technika,stary,anatomic total shoulder arthroplasty,anatomic total shoulder arthroplasty
robotic assisted total knee arthroplasty,technologia,stary,robotic assisted total knee arthroplasty,robotic assistance
ai,technologia,stary,artificial intelligence,artificial intelligence / machine learning
medial unicompartmental knee arthroplasty,technika,stary,medial unicompartmental knee arthroplasty,medial unicompartmental knee arthroplasty
3d printing,technologia,stary,3d printing,3d printing
pao,technika,stary,periacetabular osteotomy,periacetabular osteotomy
cbct,technologia,stary,cone beam computed tomography,cone beam computed tomography
primary hip arthroscopy,technika,stary,primary hip arthroscopy,primary hip arthroscopy
psi,technologia,stary,patient specific instrumentation,patient specific instrumentation
ka,technika,stary,kinematic alignment,kinematic alignment
asd surgery,technika,stary,adult spinal deformity surgery,adult spinal deformity surgery
cone beam computed tomography,technologia,stary,cone beam computed tomography,cone beam computed tomography
atsa,technika,stary,anatomic total shoulder arthroplasty,anatomic total shoulder arthroplasty
adult spinal deformity surgery,technika,stary,adult spinal deformity surgery,adult spinal deformity surgery
fea,technologia,stary,finite element analysis,finite element analysis
robotic assistance,technologia,stary,robotic assistance,robotic assistance
rcr,technika,stary,arcr,arcr
mechanical alignment,technika,stary,mechanical alignment,mechanical alignment
patient specific instrumentation,technologia,stary,patient specific instrumentation,patient specific instrumentation
adductor canal block,technika,stary,adductor canal block,adductor canal block
oblique lumbar interbody fusion,technika,stary,oblique lumbar interbody fusion,oblique lumbar interbody fusion
latarjet procedure,technika,stary,latarjet procedure,latarjet procedure
owhto,technika,stary,open wedge high tibial osteotomy,open wedge high tibial osteotomy
percutaneous endoscopic lumbar discectomy,technika,stary,percutaneous endoscopic lumbar discectomy,percutaneous endoscopic lumbar discectomy
arcr,technika,stary,arcr,arcr
fns,technologia,stary,femoral neck system,femoral neck system
peld,technika,stary,percutaneous endoscopic lumbar discectomy,percutaneous endoscopic lumbar discectomy
cda,technika,stary,cervical disc arthroplasty,cervical disc arthroplasty
machine learning model,technologia,stary,machine learning model,artificial intelligence / machine learning
lateral extra articular tenodesis,technika,stary,lateral extra articular tenodesis,lateral extra articular tenodesis
volar locking plate,technologia,stary,volar locking plate,volar locking plate
mua,technika,stary,manipulation under anesthesia,manipulation under anesthesia
femoral neck system,technologia,stary,femoral neck system,femoral neck system
tea,technika,stary,total elbow arthroplasty,total elbow arthroplasty
pfna,technologia,stary,proximal femoral nail antirotation,proximal femoral nail antirotation
open wedge high tibial osteotomy,technika,stary,open wedge high tibial osteotomy,open wedge high tibial osteotomy
mowhto,technika,stary,open wedge high tibial osteotomy,open wedge high tibial osteotomy
augmented reality,technologia,stary,augmented reality,augmented reality
acb,technika,stary,adductor canal block,adductor canal block
cephalomedullary nail,technologia,stary,cephalomedullary nail,cephalomedullary nail
short stem,technologia,stary,short stem,short stem
let,technika,stary,lateral extra articular tenodesis,lateral extra articular tenodesis
3d printing technology,technologia,stary,3d printing technology,3d printing
cervical disc arthroplasty,technika,stary,cervical disc arthroplasty,cervical disc arthroplasty
targeted muscle reinnervation,technika,stary,targeted muscle reinnervation,targeted muscle reinnervation
primary unilateral total knee arthroplasty,technika,stary,primary unilateral total knee arthroplasty,primary unilateral total knee arthroplasty
kinematic alignment,technika,stary,kinematic alignment,kinematic alignment
random forest,technologia,stary,random forest,artificial intelligence / machine learning
oblique lateral interbody fusion,technika,stary,oblique lateral interbody fusion,oblique lateral interbody fusion
elective total knee arthroplasty,technika,stary,elective total knee arthroplasty,elective total knee arthroplasty
primary reverse total shoulder arthroplasty,technika,stary,primary reverse total shoulder arthroplasty,reverse shoulder arthroplasty
dual mobility cup,technologia,stary,dual mobility cup,dual mobility cup
unilateral anterior cruciate ligament reconstruction,technika,stary,unilateral anterior cruciate ligament reconstruction,unilateral anterior cruciate ligament reconstruction
anterolateral ligament,technika,stary,anterolateral ligament,anterolateral ligament
fnb,technika,stary,femoral nerve block,femoral nerve block
mom total hip arthroplasty,technologia,stary,mom total hip arthroplasty,mom total hip arthroplasty
anterior cervical discectomy fusion,technika,nowy,anterior cervical discectomy fusion,anterior cervical discectomy fusion
unicompartmental knee arthroplasty,technika,nowy,unicompartmental knee arthroplasty,unicompartmental knee arthroplasty
hip arthroscopy,technika,nowy,hip arthroscopy,hip arthroscopy
finite element analysis,technologia,nowy,finite element analysis,finite element analysis
transforaminal lumbar interbody fusion,technika,nowy,transforaminal lumbar interbody fusion,transforaminal lumbar interbody fusion
arthroscopic rotator cuff repair,technika,nowy,arthroscopic rotator cuff repair,arthroscopic rotator cuff repair
psf,technika,nowy,posterior lumbar fusion,posterior lumbar fusion
locking plate,technologia,nowy,locking plate,locking plate
pvp,technika,nowy,vertebral augmentation,vertebral augmentation
robotic,technologia,nowy,robotic,robotic
revision anterior cruciate ligament reconstruction,technika,nowy,revision anterior cruciate ligament reconstruction,revision anterior cruciate ligament reconstruction
anterior cruciate ligament reconstruction surgery,technika,nowy,primary anterior cruciate ligament reconstruction,primary anterior cruciate ligament reconstruction
kyphoplasty,technika,nowy,kyphoplasty,kyphoplasty
tar,technika,nowy,total ankle arthroplasty,total ankle arthroplasty
polyetheretherketone,technologia,nowy,polyetheretherketone,polyetheretherketone
labral repair,technika,nowy,labral repair,labral repair
lcp,technologia,nowy,locking plate,locking plate
pso,technika,nowy,pedicle subtraction osteotomy,pedicle subtraction osteotomy
vertebral augmentation,technika,nowy,vertebral augmentation,vertebral augmentation
cta,technologia,nowy,cta,cta
pelvic fixation,technika,nowy,pelvic fixation,pelvic fixation
medial patellofemoral ligament reconstruction,technika,nowy,medial patellofemoral ligament reconstruction,medial patellofemoral ligament reconstruction
pedicle subtraction osteotomy,technika,nowy,pedicle subtraction osteotomy,pedicle subtraction osteotomy
posterior lumbar fusion,technika,nowy,posterior lumbar fusion,posterior lumbar fusion
minimally invasive plate osteosynthesis,technika,nowy,minimally invasive plate osteosynthesis,minimally invasive plate osteosynthesis
highly cross linked polyethylene,technologia,nowy,highly cross linked polyethylene,highly cross linked polyethylene
computer navigation,technologia,nowy,computer navigation,computer navigation
ultrasound guidance,technologia,nowy,ultrasound guidance,ultrasound guidance
balloon kyphoplasty,technika,nowy,kyphoplasty,kyphoplasty
computer assisted navigation,technologia,nowy,computer navigation,computer navigation
ponseti method,technika,nowy,ponseti method,ponseti method
autologous chondrocyte implantation,technika,nowy,autologous chondrocyte implantation,autologous chondrocyte implantation
hip resurfacing,technika,nowy,hip resurfacing,hip resurfacing
tdr,technika,nowy,total disc replacement,total disc replacement
hip resurfacing arthroplasty,technika,nowy,hip resurfacing,hip resurfacing
aci,technika,nowy,autologous chondrocyte implantation,autologous chondrocyte implantation
