term,y0,kategoria
reverse total shoulder arthroplasty,2013,technika
reverse shoulder arthroplasty,2011,technika
primary anterior cruciate ligament reconstruction,2018,technika
direct anterior approach,2015,technika
cone beam computed tomography,2010,technologia
electronic medical record,2013,technologia
artificial intelligence,2021,technologia
lateral lumbar interbody fusion,2014,technika
percutaneous kyphoplasty,2016,technika
machine learning,2019,technologia
anatomic total shoulder arthroplasty,2017,technika
robotic assisted total knee arthroplasty,2021,technologia
3d printing,2016,technologia
medial unicompartmental knee arthroplasty,2014,technika
primary hip arthroscopy,2019,technika
adult spinal deformity surgery,2016,technika
robotic assistance,2021,technologia
mechanical alignment,2018,technika
patient specific instrumentation,2013,technologia
transfemoral amputation,2015,technika
adductor canal block,2016,technika
oblique lumbar interbody fusion,2019,technika
latarjet procedure,2020,technika
percutaneous endoscopic lumbar discectomy,2016,technika
machine learning model,2022,technologia
arcr,2020,technika
lateral extra articular tenodesis,2020,technika
volar locking plate,2016,technologia
femoral neck system,2022,technologia
virtual reality,2020,technologia
open wedge high tibial osteotomy,2016,technika
augmented reality,2022,technologia
3d printing technology,2017,technologia
cephalomedullary nail,2021,technologia
short stem,2015,technologia
random forest,2023,technologia
cervical disc arthroplasty,2016,technika
targeted muscle reinnervation,2021,technika
primary unilateral total knee arthroplasty,2015,technika
kinematic alignment,2022,technika
oblique lateral interbody fusion,2020,technika
elective total knee arthroplasty,2022,technika
primary reverse total shoulder arthroplasty,2021,technika
dual mobility cup,2016,technologia
unilateral anterior cruciate ligament reconstruction,2017,technika
anterolateral ligament,2016,technika
mom total hip arthroplasty,2014,technologia
imn,2020,technika
ra total knee arthroplasty,2023,technologia
