term,prac,stanowiskowe_pct
microcomputed tomography,186,43.5
micro computed tomography,337,33.8
femoral neck system,124,24.2
lcp,472,23.9
fns,143,23.1
polyetheretherketone,364,20.3
locked plating,202,18.3
tplo,295,18.0
locking plate,1120,17.9
anterolateral ligament,159,16.4
let,139,15.1
locking plate fixation,247,14.6
pfna,308,14.3
oblique lumbar interbody fusion,199,14.1
total disc replacement,256,12.5
tibial plateau leveling osteotomy,218,12.4
tdr,319,12.2
double bundle reconstruction,141,12.1
single bundle,147,10.9
olif,344,10.8
lateral extra articular tenodesis,179,10.1
cephalomedullary nail,216,9.3
mowhto,171,8.8
pso,336,8.3
latarjet procedure,327,8.3
short stem,258,8.1
targeted muscle reinnervation,152,7.9
anterior cruciate ligament reconstruction surgery,342,7.6
transforaminal lumbar interbody fusion,1242,7.6
pedicle subtraction osteotomy,340,7.4
cbct,694,7.2
unilateral anterior cruciate ligament reconstruction,188,6.9
minimally invasive plate osteosynthesis,295,6.8
anatomic anterior cruciate ligament reconstruction,190,6.8
open wedge high tibial osteotomy,312,6.7
cone beam computed tomography,846,6.6
augmented reality,157,6.4
lateral lumbar interbody fusion,456,6.1
3d printing,358,6.1
cervical disc arthroplasty,312,6.1
vertebral augmentation,302,6.0
tar,344,5.8
oblique lateral interbody fusion,140,5.7
owhto,284,5.6
3d printing technology,221,5.4
medial unicompartmental knee arthroplasty,417,5.3
dual mobility cup,221,5.0
pelvic fixation,200,5.0
labral repair,325,4.9
acb,237,4.6
posterior lumbar fusion,200,4.5
volar locking plate,363,4.4
highly cross linked polyethylene,257,4.3
hip resurfacing arthroplasty,323,4.3
reverse total shoulder arthroplasty,1151,4.2
anterior cervical discectomy fusion,1942,4.2
computer navigation,447,4.0
hip resurfacing,572,3.8
pao,406,3.7
psf,598,3.7
kyphoplasty,1012,3.7
balloon kyphoplasty,407,3.7
robotic assistance,205,3.4
unicompartmental knee arthroplasty,2005,3.4
cda,264,3.4
reverse shoulder arthroplasty,1090,3.3
ai,366,3.0
ka,297,3.0
computer assisted navigation,268,3.0
ultrasound guidance,203,3.0
psi,461,2.8
cta,259,2.7
patient specific instrumentation,344,2.6
aci,241,2.5
atsa,210,2.4
pvp,620,2.4
machine learning,287,2.4
rcr,262,2.3
anatomic total shoulder arthroplasty,400,2.2
arthroscopic rotator cuff repair,1208,2.2
percutaneous kyphoplasty,486,2.1
primary reverse total shoulder arthroplasty,141,2.1
pkp,431,2.1
direct anterior approach,716,2.0
medial patellofemoral ligament reconstruction,255,2.0
mechanical alignment,301,2.0
arcr,208,1.9
taa,517,1.4
hip arthroscopy,2035,1.4
adductor canal block,288,1.4
percutaneous endoscopic lumbar discectomy,324,1.2
kinematic alignment,164,1.2
autologous chondrocyte implantation,366,1.1
robotic,295,1.0
adult spinal deformity surgery,288,1.0
daa,483,1.0
peld,302,1.0
tea,324,0.9
primary anterior cruciate ligament reconstruction,912,0.8
asd surgery,271,0.7
machine learning model,151,0.7
mep,597,0.5
artificial intelligence,275,0.4
primary hip arthroscopy,256,0.4
robotic assisted total knee arthroplasty,244,0.4
ponseti method,325,0.3
revision anterior cruciate ligament reconstruction,458,0.2
electronic medical record,486,0.2
random forest,119,0.0
mua,242,0.0
fnb,189,0.0
elective total knee arthroplasty,206,0.0
mom total hip arthroplasty,119,0.0
primary unilateral total knee arthroplasty,272,0.0
