grupa,przyczyna
mom total hip arthroplasty,1. dowody PRZECIW
hip resurfacing,1. dowody PRZECIW
computer navigation,4. dowody ZA + DALSZY ROZWOJ (wchloniecie)
femoral nerve block,2. dowody ZA ALTERNATYWA (wzglednie przeciw tej)
double bundle reconstruction,3. BRAK przekonujacych dowodow
ponseti method,5. dowody ZA + RUTYNA
kyphoplasty,5. dowody ZA + RUTYNA
dual mobility cup,5. dowody ZA + RUTYNA
microfracture,3. BRAK przekonujacych dowodow
autologous chondrocyte implantation,3. BRAK przekonujacych dowodow
mesenchymal stem cell,3. BRAK przekonujacych dowodow
total disc replacement,3. BRAK przekonujacych dowodow
