term,n,y0,peak_year,docs_total,prevalence_2021_2025_pct,zawiera_liczbe
evidence,1,2011,2019,36946,18.755,False
level,1,2014,2019,37053,18.123,False
january,1,2019,2025,14902,9.299,False
impact,1,2021,2025,7984,5.504,False
95,1,2021,2025,8811,5.405,True
risk factor,2,2020,2024,8938,5.146,False
sex,1,2022,2025,7443,4.66,False
visual analog scale,3,2020,2025,5881,3.47,False
stay,1,2018,2024,6080,3.405,False
95 confidence interval,3,2014,2025,6529,3.37,True
participant,1,2018,2025,5437,3.068,False
rom,1,2014,2025,5298,3.022,False
last follow up,3,2017,2022,5507,2.894,False
randomized controlled trial,3,2012,2025,4711,2.518,False
visual analogue scale,3,2014,2025,3918,2.098,False
primary total knee arthroplasty,4,2019,2025,3709,2.062,False
higher rate,2,2021,2025,2958,1.941,False
proportion,1,2017,2025,2947,1.75,False
level iv,2,2003,2014,4399,1.673,False
higher risk,2,2016,2025,2683,1.663,False
oswestry disability index,3,2007,2023,2946,1.658,False
complete description,2,2003,2014,3959,1.573,False
open reduction internal fixation,4,2020,2025,2611,1.562,False
multivariate analysis,2,2016,2022,2591,1.497,False
female,1,2023,2025,2438,1.32,False
single institution,2,2012,2025,2048,1.277,False
mean difference,2,2012,2025,2008,1.227,False
anterior cervical discectomy fusion,4,2013,2025,1942,1.177,False
adverse event,2,2010,2024,2106,1.158,False
unicompartmental knee arthroplasty,3,2018,2024,2005,1.14,False
knee osteoarthritis,2,2015,2024,1998,1.119,False
hip arthroscopy,2,2018,2021,2035,1.075,False
finite element analysis,3,2020,2024,1496,1.075,False
demographic data,2,2016,2024,1636,1.065,False
obesity,1,2014,2025,1940,1.017,False
future study,2,2019,2025,1661,1.013,False
utilization,1,2022,2024,1503,0.936,False
radiographic parameter,2,2013,2025,1369,0.936,False
aofas,1,2012,2025,1754,0.924,False
clinical and radiological outcome,4,2016,2024,1603,0.891,False
american society,2,2014,2020,1485,0.837,False
no consensus,2,2019,2022,1474,0.831,False
primary outcome measure,3,2011,2021,1562,0.83,False
ikdc,1,2011,2024,1628,0.812,False
surgical time,2,2023,2025,1233,0.808,False
minimum 2 year follow up,5,2020,2023,1329,0.792,True
30 day,2,2018,2019,1562,0.789,True
ais,1,2011,2025,1330,0.783,False
future research,2,2017,2025,1027,0.778,False
heterogeneity,1,2015,2025,1167,0.767,False
therapeutic study,2,2003,2009,2546,0.757,False
surgical complication,2,2020,2024,1237,0.741,False
transforaminal lumbar interbody fusion,4,2013,2023,1242,0.738,False
consecutive patient,2,2016,2021,1309,0.709,False
oxford knee score,3,2007,2025,1160,0.701,False
rsa,1,2020,2024,1208,0.699,False
anesthesiologist,1,2018,2016,1318,0.692,False
retrospective case series,3,2013,2015,1504,0.686,False
retrospective comparative study,3,2005,2025,1206,0.675,False
clinical effect,2,2012,2022,1457,0.654,False
arthroscopic rotator cuff repair,4,2014,2024,1208,0.653,False
chi square test,3,2014,2025,882,0.653,False
pt,1,2020,2022,906,0.614,False
this cohort,2,2014,2025,1064,0.599,False
osteoporotic vertebral compression fracture,4,2016,2025,930,0.592,False
total knee arthroplasty patient,4,2014,2024,910,0.576,False
surgical fixation,2,2014,2025,1021,0.573,False
implant survival,2,2014,2025,1083,0.561,False
level ii,2,2005,2014,1436,0.554,False
observational study,2,2018,2025,859,0.537,False
case control study,3,2013,2019,1301,0.519,False
2 4,2,2016,2021,920,0.512,True
decision making,2,2018,2024,923,0.512,False
prosthetic joint infection,3,2009,2022,908,0.499,False
anxiety,1,2018,2025,802,0.499,False
2 2,2,2020,2022,891,0.486,True
primary endpoint,2,2010,2025,824,0.48,False
3 3,2,2018,2024,828,0.479,True
index surgery,2,2015,2024,856,0.471,False
joa score,2,2011,2023,968,0.47,False
novel technique,2,2013,2025,1017,0.463,False
2 9,2,2013,2025,815,0.457,True
psf,1,2015,2025,598,0.454,False
neck disability index,3,2009,2016,885,0.454,False
emergency department,2,2017,2018,928,0.444,False
locking plate,2,2006,2011,1119,0.438,False
american shoulder,2,2017,2023,762,0.437,False
aofas score,2,2012,2025,831,0.432,False
older adult,2,2018,2025,594,0.432,False
proximal humerus fracture,3,2021,2025,767,0.431,False
constant murley score,3,2010,2023,686,0.427,False
elbow surgeon,2,2017,2023,725,0.422,False
3 9,2,2023,2024,735,0.413,True
fisher s exact test,4,2021,2025,592,0.408,False
ucla,1,2010,2025,780,0.402,False
international knee documentation committee,4,2011,2022,871,0.399,False
6 3,2,2010,2025,688,0.398,True
adverse outcome,2,2017,2025,608,0.387,False
4 4,2,2010,2025,653,0.382,True
knee range,2,2023,2025,634,0.38,False
ct image,2,2022,2022,717,0.374,False
clinical decision making,3,2022,2025,498,0.373,False
sensitivity analysis,2,2012,2025,645,0.371,False
all time point,3,2018,2025,598,0.37,False
4 1,2,2020,2022,673,0.368,True
adjacent segment disease,3,2009,2022,648,0.368,False
5 1,2,2019,2021,598,0.366,True
5 7,2,2021,2025,610,0.36,True
