pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
1,ci,1,2015,2025,10135,6.711,8.107,metoda,,False,False
2,systematic review,2,2014,2025,9343,6.552,7.045,metoda,,False,True
3,vas,1,2021,2025,10135,6.399,7.182,skala,,False,False
4,primary outcome,2,2013,2025,5937,4.841,6.708,metoda,,False,False
5,meta analysis,2,2013,2025,6936,4.77,5.316,metoda,,False,True
6,inclusion criterion,2,2016,2025,7032,4.225,5.151,metoda,,False,False
7,pubmed,1,2011,2025,5223,4.062,5.166,metoda,,False,False
8,embase,1,2013,2025,5289,3.663,4.362,metoda,,False,False
9,95 ci,2,2014,2025,5991,3.638,5.072,metoda,,False,False
10,cohort,1,2021,2025,5186,3.453,4.032,metoda,,False,False
11,retrospective cohort study,3,2017,2025,3977,3.308,4.326,metoda,,False,True
12,secondary outcome,2,2013,2025,3821,3.231,4.714,metoda,,False,False
13,bmi,1,2015,2025,4427,3.183,3.989,czynnik,,False,False
14,level iii,2,2014,2024,4919,3.139,3.716,metoda,,False,False
15,body mass index,3,2022,2024,5204,3.126,3.549,,,False,False
16,patient reported outcome,3,2010,2025,2991,2.578,3.372,skala,,False,True
17,periprosthetic joint infection,3,2011,2024,3098,2.501,2.762,rozpoznanie,,True,True
18,odd ratio,2,2016,2025,3912,2.482,2.726,metoda,,False,False
19,demographic,1,2017,2025,3172,2.328,2.927,metoda,,False,False
20,comorbidity,1,2017,2025,3685,2.279,2.827,czynnik,,False,False
21,science,1,2014,2025,2456,2.209,2.949,metoda,,False,False
22,prom,1,2013,2025,2054,2.17,2.755,skala,patient reported outcome measure,False,False
23,patient reported outcome measure,4,2011,2024,2129,2.156,2.798,skala,,False,True
24,operation time,2,2019,2023,3090,2.112,2.486,wynik,,False,False
25,odi,1,2016,2025,3231,2.064,2.382,skala,,False,False
26,web,1,2013,2025,2137,1.98,2.777,metoda,,False,False
27,or,1,2018,2025,2865,1.922,2.267,metoda,,False,False
28,vas score,2,2017,2024,2925,1.919,2.06,skala,vas,False,False
29,patient demographic,2,2013,2024,2621,1.829,2.161,metoda,,False,False
30,this systematic review,3,2012,2025,2351,1.821,2.31,metoda,,False,False
