term,zawiera_liczbe
18 2,True
2 study,True
20 8,True
21 4,True
23 1,True
24 1,True
25 9,True
26 9,True
4 3,True
additional benefit,False
all p,False
anterior cruciate ligament reconstruction group,False
anterior cruciate ligament return,False
binary logistic regression,False
comprehensive literature search,False
cox proportional hazard model,False
database,False
discrimination,False
fracture morphology,False
fragility fracture,False
hbl,False
imn,False
increased likelihood,False
main outcome variable,False
mc,False
mean follow up duration,False
mechanical lateral distal femoral angle,False
mimic software,False
national institute,False
no impact,False
nonhome discharge,False
pairwise comparison,False
patient characteristic,False
perioperative data,False
post hoc analysis,False
ra total knee arthroplasty,False
race,False
registry,False
reliance,False
revision surgery rate,False
risk assessment,False
rod fracture,False
rts rate,False
searche,False
significance level,False
significant postoperative improvement,False
significant risk factor,False
significantly higher risk,False
significantly increased risk,False
sleep quality,False
this prospective cohort study,False
threshold value,False
tja patient,False
total knee arthroplasty procedure,False
treatment success,False
univariate and multivariate analysis,False
vas and odi score,False
vbq,False
vsp,False
