term,y0,prac_od_y0,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,szczyt_pct,rok_szczytu,nachylenie_log,czas_podwojenia_lat,trwalosc_2025_do_szczytu,kategoria
reverse total shoulder arthroplasty,2013,1069,0.7,739.7,USA,52.8,3.4,10.1,9206499,46.6,4.4,1.134,2025,0.119,5.8,1.0,technika
reverse shoulder arthroplasty,2011,1040,1.1,672.6,USA,38.6,5.4,8.4,9206499,38.7,6.2,0.846,2024,0.064,10.9,0.81,technika
primary anterior cruciate ligament reconstruction,2018,617,1.5,411.6,USA,36.0,6.4,6.8,9314730,20.3,9.6,0.796,2025,0.069,10.1,1.0,technika
direct anterior approach,2015,655,0.8,534.3,USA,26.5,7.5,12.4,8703515,20.9,15.3,0.568,2023,0.109,6.4,0.9,technika
cone beam computed tomography,2010,403,0.7,383.9,China,14.6,15.6,15.1,100888977,7.4,35.5,0.323,2025,0.06,11.5,1.0,technologia
electronic medical record,2013,422,1.4,367.9,USA,65.2,2.3,19.7,8703515,8.3,51.2,0.398,2024,0.127,5.5,0.63,technologia
artificial intelligence,2021,228,1.3,206.3,USA,29.7,6.0,7.0,9314730,7.5,42.1,0.552,2025,0.363,1.9,1.0,technologia
lateral lumbar interbody fusion,2014,441,5.0,187.2,USA,46.7,3.6,13.6,101528275,18.1,15.0,0.424,2023,0.135,5.1,0.85,technika
percutaneous kyphoplasty,2016,371,1.1,312.1,China,93.7,1.1,5.7,101265112,8.1,28.5,0.39,2024,0.132,5.3,0.96,technika
machine learning,2019,261,1.5,223.3,USA,45.6,4.2,9.2,8703515,10.0,35.0,0.384,2023,0.317,2.2,0.99,technologia
anatomic total shoulder arthroplasty,2017,355,1.7,263.1,USA,78.1,1.6,8.7,9206499,61.7,2.5,0.36,2023,0.092,7.5,0.98,technika
robotic assisted total knee arthroplasty,2021,215,2.3,169.3,USA,31.1,7.5,4.2,9314730,14.9,15.5,0.653,2025,0.385,1.8,1.0,technologia
3d printing,2016,318,0.6,312.1,China,35.1,6.3,9.7,0226040,3.4,89.7,0.344,2025,0.104,6.7,1.0,technologia
medial unicompartmental knee arthroplasty,2014,363,1.1,290.9,USA,23.8,9.6,5.0,8703515,16.8,12.5,0.344,2025,0.071,9.8,1.0,technika
primary hip arthroscopy,2019,222,5.0,89.3,USA,89.0,1.3,5.9,8506498,46.4,3.1,0.292,2021,0.406,1.7,0.64,technika
adult spinal deformity surgery,2016,255,2.7,173.4,USA,49.3,3.5,12.5,7610646,21.6,9.4,0.309,2025,0.103,6.7,1.0,technika
robotic assistance,2021,156,1.9,136.7,USA,53.5,3.2,7.7,8703515,12.2,23.0,0.316,2025,0.215,3.2,1.0,technologia
primary total joint arthroplasty,2017,243,1.2,222.8,USA,70.2,2.0,15.6,8703515,60.9,2.6,0.258,2022,0.097,7.1,0.89,technika
mechanical alignment,2018,207,1.4,173.5,China,16.3,12.7,5.3,9314730,25.6,11.3,0.301,2025,0.12,5.8,1.0,technika
patient specific instrumentation,2013,333,1.2,289.5,USA,21.7,11.4,11.4,9314730,11.4,25.5,0.301,2025,0.017,41.6,1.0,technologia
implant retention,2019,190,2.1,162.6,USA,30.6,8.2,8.9,8703515,24.7,13.3,0.309,2025,0.132,5.2,1.0,technika
transfemoral amputation,2015,244,1.2,206.7,USA,37.4,5.9,13.5,7707720,16.0,22.7,0.215,2025,0.043,16.0,1.0,technika
adductor canal block,2016,262,1.9,211.9,China,31.0,5.7,11.5,8703515,11.5,28.7,0.239,2021,0.096,7.2,0.96,technika
oblique lumbar interbody fusion,2019,184,1.6,159.7,China,68.4,2.1,3.8,101528275,17.4,13.9,0.239,2024,0.113,6.1,0.87,technika
latarjet procedure,2020,177,2.8,147.1,USA,25.0,9.7,14.1,9206499,21.5,9.4,0.304,2024,0.035,19.8,0.57,technika
percutaneous endoscopic lumbar discectomy,2016,272,1.8,216.3,China,84.0,1.4,8.1,101528275,14.3,16.9,0.264,2018,0.303,2.3,0.79,technika
machine learning model,2022,118,3.4,90.4,USA,40.7,4.2,4.2,8703515,10.2,29.9,0.289,2024,0.29,2.4,0.82,technologia
arcr,2020,155,1.9,134.2,USA,22.8,6.7,3.9,8506498,18.7,10.5,0.267,2024,0.22,3.1,0.86,technika
lateral extra articular tenodesis,2020,146,2.1,122.5,USA,27.2,8.5,14.4,8506498,28.8,6.4,0.273,2025,0.135,5.1,1.0,technika
volar locking plate,2016,260,1.5,226.8,Japan,15.2,12.2,11.2,7609631,10.0,28.2,0.217,2024,0.01,72.2,0.79,technologia
femoral neck system,2022,110,3.6,89.0,China,67.6,2.1,4.5,100968565,22.7,12.4,0.275,2024,0.424,1.6,0.76,technologia
virtual reality,2020,137,2.9,124.3,USA,24.0,9.0,5.8,8506498,5.1,62.4,0.28,2025,0.173,4.0,1.0,technologia
graft type,2018,192,1.0,177.2,USA,45.6,4.5,12.0,7609541,20.3,12.8,0.273,2025,0.025,28.1,1.0,technika
open wedge high tibial osteotomy,2016,228,2.6,140.5,Japan,29.1,4.6,6.6,9314730,15.4,14.8,0.218,2019,0.201,3.4,0.43,technika
open reduction internal fixation group,2019,154,1.3,148.2,China,27.9,9.1,9.1,0226040,9.7,26.8,0.186,2021,0.207,3.3,0.96,technika
augmented reality,2022,97,4.1,79.1,USA,26.1,7.7,9.3,8703515,5.2,46.8,0.24,2023,,,0.6,technologia
3d printing technology,2017,198,1.0,190.3,China,66.3,2.2,8.6,9815790,8.1,37.7,0.205,2019,0.054,12.9,0.84,technologia
cephalomedullary nail,2021,108,1.9,100.6,USA,20.0,9.5,7.4,0226040,23.1,12.1,0.179,2025,0.03,22.8,1.0,technologia
short stem,2015,208,3.4,147.2,Germany,16.7,12.8,7.7,9011043,14.4,19.2,0.199,2021,0.024,29.1,0.68,technologia
random forest,2023,77,6.5,57.6,China,45.9,3.3,3.9,8703515,10.4,25.9,0.244,2025,0.355,2.0,1.0,technologia
cervical disc arthroplasty,2016,224,4.5,132.7,China,42.0,3.2,16.1,101130732,10.3,18.4,0.216,2023,-0.015,,0.53,technika
biomarker,2020,117,1.7,111.3,USA,28.6,5.8,4.3,100968565,6.8,48.0,0.206,2021,,,0.63,technologia
targeted muscle reinnervation,2021,100,2.0,94.3,USA,69.1,2.0,19.0,1306050,11.0,23.5,0.2,2023,0.257,2.7,0.72,technika
primary unilateral total knee arthroplasty,2015,220,0.9,201.7,China,33.8,4.6,8.6,8703515,23.6,14.0,0.182,2016,,,0.71,technika
kinematic alignment,2022,87,3.4,68.2,USA,23.5,8.8,2.3,9314730,40.2,5.5,0.194,2025,0.167,4.2,1.0,technika
oblique lateral interbody fusion,2020,112,4.5,75.6,China,61.1,2.4,3.6,101528275,11.6,16.8,0.199,2022,0.253,2.7,0.65,technika
elective total knee arthroplasty,2022,80,3.8,72.7,USA,50.7,3.3,6.2,8703515,26.2,11.6,0.162,2022,,,0.98,technika
primary reverse total shoulder arthroplasty,2021,90,3.3,77.9,USA,50.0,3.6,4.4,9206499,55.6,3.1,0.172,2025,0.063,11.1,1.0,technika
dual mobility cup,2016,172,1.7,145.0,France,32.5,7.2,7.0,7705431,23.8,10.0,0.189,2020,0.041,16.7,0.38,technologia
unilateral anterior cruciate ligament reconstruction,2017,138,2.2,116.1,USA,50.4,3.5,8.0,7609541,13.8,19.0,0.198,2018,,,0.51,technika
anterolateral ligament,2016,151,2.0,128.8,USA,23.3,10.2,14.6,8506498,21.9,10.2,0.162,2017,,,0.8,technika
mom total hip arthroplasty,2014,96,2.1,82.3,USA,34.1,5.8,14.6,8703515,20.8,9.3,0.14,2018,-0.014,,0.1,technologia
