grupa,czlonow,czlony,y0,baseline_pct,prog_pct,szczyt_pct,rok_szczytu,prevalence_2021_2025_pct,docs_total,trwalosc_2025_do_szczytu,prac_od_y0,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,czas_podwojenia_lat
reverse shoulder arthroplasty,3,reverse total shoulder arthroplasty | reverse shoulder arthroplasty | primary reverse total shoulder arthroplasty,2013,0.0694,0.347,1.598,2024,1.39,2069,1.0,1888,0.6,1130.2,USA,45.7,4.3,9.5,9206499,42.3,5.3,8.4
artificial intelligence / machine learning,4,artificial intelligence | machine learning | machine learning model | random forest,2019,0.0,0.1,1.134,2025,0.795,624,1.0,611,1.0,448.2,USA,37.8,4.9,7.4,8703515,8.3,47.1,2.1
primary anterior cruciate ligament reconstruction,1,,2018,0.0795,0.3976,0.796,2025,0.593,906,1.0,617,1.5,411.6,USA,36.0,6.4,6.8,9314730,20.3,9.6,10.1
robotic assistance,3,robotic assisted total knee arthroplasty | robotic assistance | ra total knee arthroplasty,2020,0.0,0.1,0.969,2025,0.554,461,1.0,407,1.5,317.9,USA,40.4,5.2,5.7,9314730,11.8,19.7,2.1
direct anterior approach,1,,2014,0.0166,0.1,0.568,2023,0.531,716,0.9,668,0.7,545.5,USA,27.0,7.5,12.4,8703515,20.8,15.5,4.6
3d printing,2,3d printing | 3d printing technology,2016,0.0,0.1,0.459,2025,0.384,504,1.0,482,0.4,466.5,China,46.6,4.1,9.3,9815790,4.6,71.8,9.1
imn,1,,2020,0.0544,0.2721,0.445,2025,0.368,508,1.0,299,1.0,278.5,USA,33.5,6.3,11.0,9518037,12.0,22.8,9.0
lateral lumbar interbody fusion,1,,2013,0.0,0.1,0.424,2023,0.363,456,0.85,454,4.8,193.4,USA,48.0,3.5,13.2,101528275,17.6,15.0,5.0
percutaneous kyphoplasty,1,,2016,0.025,0.125,0.39,2024,0.347,477,0.96,371,1.1,312.1,China,93.7,1.1,5.7,101265112,8.1,28.5,5.3
electronic medical record,1,,2013,0.0081,0.1,0.398,2024,0.331,441,0.63,422,1.4,367.9,USA,65.2,2.3,19.7,8703515,8.3,51.2,5.5
anatomic total shoulder arthroplasty,1,,2017,0.0,0.1,0.36,2023,0.312,400,0.98,355,1.7,263.1,USA,78.1,1.6,8.7,9206499,61.7,2.5,7.5
medial unicompartmental knee arthroplasty,1,,2014,0.0247,0.1237,0.344,2025,0.277,410,1.0,363,1.1,290.9,USA,23.8,9.6,5.0,8703515,16.8,12.5,9.8
primary hip arthroscopy,1,,2019,0.004,0.1,0.292,2021,0.257,256,0.64,222,5.0,89.3,USA,89.0,1.3,5.9,8506498,46.4,3.1,1.7
cone beam computed tomography,1,,2012,0.0124,0.1,0.323,2025,0.241,411,1.0,385,0.8,367.8,China,15.4,15.3,15.6,100888977,7.8,34.9,19.0
adult spinal deformity surgery,1,,2016,0.0165,0.1,0.309,2025,0.238,288,1.0,255,2.7,173.4,USA,49.3,3.5,12.5,7610646,21.6,9.4,6.7
mechanical alignment,1,,2018,0.0169,0.1,0.301,2025,0.213,298,1.0,207,1.4,173.5,China,16.3,12.7,5.3,9314730,25.6,11.3,5.8
patient specific instrumentation,1,,2013,0.0,0.1,0.301,2025,0.209,344,1.0,333,1.2,289.5,USA,21.7,11.4,11.4,9314730,11.4,25.5,41.6
