pozycja,term,n,y0,peak_year,docs_total,prevalence_2021_2025
1,ci,1,2015,2025,10135,0.06711156245466415
2,systematic review,2,2014,2025,9343,0.0655157406064123
3,vas,1,2021,2025,10135,0.06399245611489918
4,primary outcome,2,2013,2025,5937,0.04841143188742202
5,meta analysis,2,2013,2025,6936,0.047700565791382564
6,inclusion criterion,2,2016,2025,7032,0.04224575656463078
7,pubmed,1,2011,2025,5223,0.04062091977368345
8,embase,1,2013,2025,5289,0.036631365153053826
9,95 ci,2,2014,2025,5991,0.036384738140142175
10,cohort,1,2021,2025,5186,0.03452778180763093
11,retrospective cohort study,3,2017,2025,3977,0.03307703467285652
12,secondary outcome,2,2013,2025,3821,0.03230813869142608
13,bmi,1,2015,2025,4427,0.03182939213695053
14,level iii,2,2014,2024,4919,0.03139416799651821
15,body mass index,3,2022,2024,5204,0.03126360075438851
16,patient reported outcome,3,2010,2025,2991,0.025779776584941246
17,periprosthetic joint infection,3,2011,2024,3098,0.025010880603510807
18,odd ratio,2,2016,2025,3912,0.024822283475990133
19,demographic,1,2017,2025,3172,0.023284491513129262
20,comorbidity,1,2017,2025,3685,0.022791237487305962
21,science,1,2014,2025,2456,0.022094878862614246
22,prom,1,2013,2025,2054,0.021703177136225157
23,patient reported outcome measure,4,2011,2024,2129,0.021558102422747714
24,operation time,2,2019,2023,3090,0.02112287828231539
25,odi,1,2016,2025,3231,0.020644131727839837
26,web,1,2013,2025,2137,0.01980269838967068
27,or,1,2018,2025,2865,0.019222399535760916
28,vas score,2,2017,2024,2925,0.019193384593065427
29,patient demographic,2,2013,2024,2621,0.018293921369505296
30,this systematic review,3,2012,2025,2351,0.01820687654141883
31,cochrane library,2,2012,2025,2505,0.01784418975772523
32,medline,1,2021,2023,3169,0.017191353547076745
33,readmission,1,2014,2022,2332,0.016799651820687656
34,intraoperative blood loss,3,2017,2025,2072,0.016553024807776005
35,postoperative outcome,2,2020,2025,1991,0.01650950239373277
36,instruction,1,2016,2017,2960,0.016291890323516613
37,clinical efficacy,2,2020,2025,1792,0.014754098360655738
