grupa,rok_szczytu,powiklanie,y0_powiklania,wyprzedzenie_lat,wyprzedza,prac_grupy,prac_powiklania,wspolnych,krotnosc,pasmo
adult spinal deformity surgery,2025,adult spinal deformity,2013,-12,True,440,833,286,211.7,bez zaniku
adult spinal deformity surgery,2025,pjf,2021,-4,True,440,140,44,193.8,bez zaniku
adult spinal deformity surgery,2025,proximal junctional failure,2021,-4,True,440,150,44,180.9,bez zaniku
adult spinal deformity surgery,2025,pjk,2016,-9,True,440,354,85,148.1,bez zaniku
adult spinal deformity surgery,2025,proximal junctional kyphosis,2015,-10,True,440,488,98,123.8,bez zaniku
adult spinal deformity surgery,2025,asd,2013,-12,True,440,1202,212,108.8,bez zaniku
adult spinal deformity surgery,2025,frailty,2021,-4,True,440,259,16,38.1,bez zaniku
adult spinal deformity surgery,2025,sagittal imbalance,2018,-7,True,440,253,6,14.6,bez zaniku
anatomic total shoulder arthroplasty,2025,glenohumeral osteoarthritis,2020,-5,True,496,232,54,127.3,bez zaniku
anatomic total shoulder arthroplasty,2025,glenoid bone loss,2014,-11,True,496,319,7,12.0,bez zaniku
anatomic total shoulder arthroplasty,2025,scapular notching,2013,-12,True,496,285,5,9.6,bez zaniku
anterior cervical discectomy fusion,2025,postoperative dysphagia,2021,-4,True,1928,192,98,71.8,bez zaniku
anterior cervical discectomy fusion,2025,dysphagia,2016,-9,True,1928,651,245,53.0,bez zaniku
anterior cervical discectomy fusion,2025,adjacent segment degeneration,2004,-21,True,1928,682,142,29.3,bez zaniku
anterior cervical discectomy fusion,2025,adjacent segment disease,2010,-15,True,1928,640,99,21.8,bez zaniku
anterior cervical discectomy fusion,2025,cage subsidence,2017,-8,True,1928,446,66,20.8,bez zaniku
anterior cervical discectomy fusion,2025,ddd,2014,-11,True,1928,206,29,19.8,bez zaniku
anterior cervical discectomy fusion,2025,asd,2013,-12,True,1928,1202,136,15.9,bez zaniku
anterolateral ligament,2017,knee injury,2016,-1,True,158,1153,5,7.4,bez zaniku
arcr,2024,retear,2011,-13,True,466,429,64,86.9,bez zaniku
arcr,2024,fatty infiltration,2012,-12,True,466,327,18,32.1,bez zaniku
arcr,2024,anxiety,2019,-5,True,466,800,9,6.6,bez zaniku
arthroscopic rotator cuff repair,2024,retear,2011,-13,True,1198,429,152,80.2,bez zaniku
arthroscopic rotator cuff repair,2024,fatty infiltration,2012,-12,True,1198,327,58,40.2,bez zaniku
arthroscopic rotator cuff repair,2024,kinesiophobia,2022,-2,True,1198,194,5,5.8,bez zaniku
artificial intelligence / machine learning,2025,fais,2019,-6,True,618,258,6,10.2,bez zaniku
artificial intelligence / machine learning,2025,femoroacetabular impingement syndrome,2018,-7,True,618,453,9,8.7,bez zaniku
artificial intelligence / machine learning,2025,ovcf,2011,-14,True,618,601,11,8.0,bez zaniku
artificial intelligence / machine learning,2025,anemia,2018,-7,True,618,387,7,7.9,bez zaniku
artificial intelligence / machine learning,2025,osteoporotic vertebral compression fracture,2016,-9,True,618,928,11,5.2,bez zaniku
autologous chondrocyte implantation,2010,olt,2023,13,False,402,179,8,30.2,3. BRAK przekonujacych dowodow
autologous chondrocyte implantation,2010,knee injury,2016,6,False,402,1153,18,10.5,3. BRAK przekonujacych dowodow
cephalomedullary nail,2025,malreduction,2017,-8,True,216,213,5,29.5,bez zaniku
cervical disc arthroplasty,2023,adjacent segment degeneration,2004,-19,True,384,682,64,66.3,bez zaniku
