rank,poprzednik_A,termin_B,y0_B,podobienstwo,percentyl_losowy,n_A_okno_wczesne,n_B_okno_pozne,okno_wczesne,okno_pozne,n_wspolnych_prac,A_2005,B_2005,A_2006,B_2006,A_2007,B_2007,A_2008,B_2008,A_2009,B_2009,A_2010,B_2010,A_2011,B_2011,A_2012,B_2012,A_2013,B_2013,A_2014,B_2014,A_2015,B_2015,A_2016,B_2016,A_2017,B_2017,A_2018,B_2018,A_2019,B_2019,A_2020,B_2020,A_2021,B_2021,A_2022,B_2022,A_2023,B_2023,A_2024,B_2024,A_2025,B_2025,tytuly_A_wczesne,tytuly_B_pozne,tytuly_WSPOLNE,werdykt
1,critical limb ischemia,limb threatening,2021,0.5968,100.0,358,621,2017-2020,2021-2024,21,13,13,27,20,38,11,44,17,66,12,66,24,79,10,82,16,95,6,86,8,89,14,126,16,104,25,90,21,84,38,80,110,67,144,38,145,22,146,29,186,29,193,"A Multicenter Predictive Score for Amputation-Free Survival for Patients Operated on with an Heparin-Bonded ePTFE Graft for Critical Limb Ischemia.
[Omniflow-IITM for critical limb ischemia : Long-term results].
Neutrophil-to-lymphocyte ratio is effective prognostic indicator for post-amputation patients with critical limb ischemia.
Clinical Outcomes of Pedal Artery Angioplasty for Patients With Ischemic Wounds: Results From the Multicenter RENDEZVOUS Registry.
Inframalleolar Interventions in Critical Limb Ischemia: Trailblazing the Path Toward the Final Frontier?","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Phage Therapy for Limb-threatening Prosthetic Knee Klebsiella pneumoniae Infection: Case Report and In Vitro Characterization of Anti-biofilm Activity.
Validation of Global Limb Anatomical Staging System (GLASS) in patients with hemodialysis and Chronic Limb-Threatening Ischemia after endovascular treatment.
Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Evaluation of Clinical Outcomes After Revascularization in Patients With Chronic Limb-Threatening Ischemia: Results From a Prospective National Cohort Study (RIVALUTANDO).","Ambulatory Status Over Time after Revascularization in Patients with Chronic Limb-Threatening Ischemia.
Impact of homocysteine levels on mortality risk in patients with chronic limb-threatening ischemia undergoing revascularization.
Multi-Level Lower Extremity Arterial Revascularization Via Retrograde Pedal Access Under Local Anesthesia in a Patient With Severe Cardiopulmonary Comorbidities: A Case Report.
Use of drug-eluting stents in patients with critical limb ischemia and infrapopliteal arterial disease: a real-world single-center experience.
Health Related Quality of Life Over Time After Revascularisation in Patients With Chronic Limb Threatening Ischaemia.",
2,critical limb ischemia,limb threatening ischemia,2020,0.5856,100.0,404,416,2016-2019,2020-2023,17,13,4,27,3,38,6,44,8,66,3,66,7,79,3,82,1,95,1,86,2,89,3,126,3,104,13,90,14,84,23,80,77,67,109,38,108,22,122,29,161,29,165,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Paclitaxel-Coated Balloon for the Treatment of Infrainguinal Disease: 12-Month Outcomes in the All-Comers Cohort of BIOLUX P-III Global Registry.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.","The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Limb-Based Patency After Surgical vs Endovascular Revascularization in Patients with Chronic Limb-Threatening Ischemia.
Direct transpedal pressure measurement during transpedal below-the-knee interventions in critical limb ischemia.
Current opinion on the role of the foot perfusion in limb amputation risk assessment.
Early outcomes of patients with chronic kidney disease after revascularization for critical limb ischemia.",
3,cli,limb threatening,2021,0.5661,100.0,231,621,2017-2020,2021-2024,26,8,13,21,20,17,11,22,17,43,12,48,24,61,10,51,16,59,6,51,8,57,14,72,16,75,25,53,21,56,38,47,110,33,144,24,145,18,146,23,186,30,193,"A Multicenter Predictive Score for Amputation-Free Survival for Patients Operated on with an Heparin-Bonded ePTFE Graft for Critical Limb Ischemia.
Neutrophil-to-lymphocyte ratio is effective prognostic indicator for post-amputation patients with critical limb ischemia.
Sailing the Murky Seas of Endovascular CLI Revascularization: Is Wound Blush Our Beacon?
Wound Blush Obtainment Is the Most Important Angiographic Endpoint for Wound Healing.
Editor's Choice - Dual Antiplatelet Therapy Improves Outcome in Diabetic Patients Undergoing Endovascular Femoropopliteal Stenting for Critical Limb Ischaemia.","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Phage Therapy for Limb-threatening Prosthetic Knee Klebsiella pneumoniae Infection: Case Report and In Vitro Characterization of Anti-biofilm Activity.
Validation of Global Limb Anatomical Staging System (GLASS) in patients with hemodialysis and Chronic Limb-Threatening Ischemia after endovascular treatment.
Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Evaluation of Clinical Outcomes After Revascularization in Patients With Chronic Limb-Threatening Ischemia: Results From a Prospective National Cohort Study (RIVALUTANDO).","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Participation in a Chronic Limb Threatening Ischemia Randomized Trial Is Inversely Correlated With Regional Amputation Rate in Limb Threatening Ischemia Patients.
Local intramuscular transplantation of autologous bone marrow mononuclear cells for critical lower limb ischaemia.
Mesenchymal stem cells for critical limb ischemia: their function, mechanism, and therapeutic potential.
ERICVA Risk Scale simplified as a predictor of amputation in critical limb ischemia.",
4,critical limb ischemia,threatening ischemia clti,2020,0.5622,100.0,404,292,2016-2019,2020-2023,12,13,0,27,0,38,0,44,0,66,0,66,0,79,0,82,0,95,0,86,0,89,0,126,0,104,8,90,5,84,13,80,50,67,78,38,81,22,83,29,94,29,121,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.","The Association of Preoperative Characteristics with Reintervention Risk in Patients Undergoing Revascularization for Chronic Limb-Threatening Ischemia.
Limb-Based Patency After Surgical vs Endovascular Revascularization in Patients with Chronic Limb-Threatening Ischemia.
Direct transpedal pressure measurement during transpedal below-the-knee interventions in critical limb ischemia.
Current opinion on the role of the foot perfusion in limb amputation risk assessment.
Early outcomes of patients with chronic kidney disease after revascularization for critical limb ischemia.",
5,limb ischemia cli,limb threatening,2021,0.5495,100.0,190,621,2017-2020,2021-2024,1,4,13,15,20,15,11,17,17,32,12,38,24,53,10,40,16,54,6,46,8,52,14,65,16,63,25,43,21,43,38,41,110,26,144,16,145,9,146,7,186,7,193,"A Multicenter Predictive Score for Amputation-Free Survival for Patients Operated on with an Heparin-Bonded ePTFE Graft for Critical Limb Ischemia.
Neutrophil-to-lymphocyte ratio is effective prognostic indicator for post-amputation patients with critical limb ischemia.
Wound Blush Obtainment Is the Most Important Angiographic Endpoint for Wound Healing.
Conservative management of distal leg necrosis in lung transplant recipients.
The effect of ambulatory status on outcomes of percutaneous vascular interventions and lower extremity bypass for critical limb ischemia in the Vascular Quality Initiative.","Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Phage Therapy for Limb-threatening Prosthetic Knee Klebsiella pneumoniae Infection: Case Report and In Vitro Characterization of Anti-biofilm Activity.
Validation of Global Limb Anatomical Staging System (GLASS) in patients with hemodialysis and Chronic Limb-Threatening Ischemia after endovascular treatment.
Outcomes of open and hybrid treatments in below the knee pathology for critical limb threatening ischemia.
Evaluation of Clinical Outcomes After Revascularization in Patients With Chronic Limb-Threatening Ischemia: Results From a Prospective National Cohort Study (RIVALUTANDO).",The Untold Story: Early and Mid-Term Results of Subintimal Angioplasty in Superficial Femoral Artery Versus Popliteal Artery Chronic Total Occlusion.,
6,cli,limb threatening ischemia,2020,0.5417,100.0,256,416,2016-2019,2020-2023,15,8,4,21,3,17,6,22,8,43,3,48,7,61,3,51,1,59,1,51,2,57,3,72,3,75,13,53,14,56,23,47,77,33,109,24,108,18,122,23,161,30,165,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Paclitaxel-Coated Balloon for the Treatment of Infrainguinal Disease: 12-Month Outcomes in the All-Comers Cohort of BIOLUX P-III Global Registry.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.","Duplex Ultrasound May Predict the Best Level of Lower Limb Amputation in Patients with Chronic Limb-Threatening Ischemia: A Retrospective Observational Cohort Study.
Risk Models and Scores in Patients with Peripheral Artery Disease and Chronic Limb-threatening Ischemia: A Comprehensive Review.
Current opinion on the role of the foot perfusion in limb amputation risk assessment.
Influence of Operative Time in the Results of Infrainguinal Bypass for Chronic Limb Threatening Ischemia.
Arterial calcification and long-term outcome in chronic limb-threatening ischemia patients.",
7,limb ischemia cli,limb threatening ischemia,2020,0.5327,100.0,214,416,2016-2019,2020-2023,1,4,4,15,3,15,6,17,8,32,3,38,7,53,3,40,1,54,1,46,2,52,3,65,3,63,13,43,14,43,23,41,77,26,109,16,108,9,122,7,161,7,165,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Paclitaxel-Coated Balloon for the Treatment of Infrainguinal Disease: 12-Month Outcomes in the All-Comers Cohort of BIOLUX P-III Global Registry.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Implications of early failure of isolated endovascular tibial interventions.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.",Current opinion on the role of the foot perfusion in limb amputation risk assessment.,
8,cli,threatening ischemia clti,2020,0.5295,100.0,256,292,2016-2019,2020-2023,7,8,0,21,0,17,0,22,0,43,0,48,0,61,0,51,0,59,0,51,0,57,0,72,0,75,8,53,5,56,13,47,50,33,78,24,81,18,83,23,94,30,121,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.","Current opinion on the role of the foot perfusion in limb amputation risk assessment.
Surgery or Endovascular Therapy for Chronic Limb-Threatening Ischemia.
Relationship between WIfI stage and quality of life at revascularization in the BEST-CLI trial.
Baseline modern medical management in the BEST-CLI trial.
Perioperative complications following open or endovascular revascularization for chronic limb-threatening ischemia in the BEST-CLI Trial.",
9,limb ischemia cli,threatening ischemia clti,2020,0.5216,100.0,214,292,2016-2019,2020-2023,1,4,0,15,0,15,0,17,0,32,0,38,0,53,0,40,0,54,0,46,0,52,0,65,0,63,8,43,5,43,13,41,50,26,78,16,81,9,83,7,94,7,121,"Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.
Endovascular Surgery, Open Surgery, and Primary Amputation in Nonagenarians Presenting with Critical Limb Ischemia.
In-hospital outcomes in patients with critical limb ischemia and end-stage renal disease after revascularization.","Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Below-the-Ankle Arrival Time as a Novel Limb Tissue Perfusion Index: Two-dimensional Perfusion Angiography Evaluation.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.",Current opinion on the role of the foot perfusion in limb amputation risk assessment.,
10,critical limb ischemia,with clti,2020,0.5185,100.0,404,194,2016-2019,2020-2023,4,13,0,27,0,38,0,44,0,66,0,66,0,79,0,82,0,95,0,86,0,89,0,126,0,104,4,90,4,84,12,80,30,67,50,38,57,22,57,29,73,29,71,"Clinical outcome of angiosome-oriented infrapopliteal percutaneous transluminal angioplasty for isolated infrapopliteal lesions in patients with critical limb ischemia.
Commentary: Carbon Dioxide Automated Angiography in Patients With a High Risk of Contrast-Induced Nephropathy Who Undergo Percutaneous Interventions for Critical Limb Ischemia.
Low Rates of Revascularization and High In-Hospital Mortality in Patients With Ischemic Lower Limb Amputation: Morbidity and Mortality of Ischemic Amputation.
[Indications and results of endovascular therapy of critical limb ischemia].
The Use of the Angiosome Concept for Treating Infrapopliteal Critical Limb Ischemia through Interventional Therapy and Determining the Clinical Significance of Collateral Vessels.","Descriptive title: The body with chronic limb-threatening ischaemia: A phenomenologically derived understanding.
Outcomes of Pedal Artery Angioplasty Are Independent of the Severity of Inframalleolar Disease: A Subanalysis of the Multicenter RENDEZVOUS Registry.
Predictors of Major Adverse Limb Events after Open Forefoot Amputation in Patients with Chronic Limb-Threatening Ischemia.
Outcomes of Peripheral Vascular Interventions via Retrograde Pedal Access for Chronic Limb-Threatening Ischemia in a Multicenter Registry.
In Situ Vein Bypass Is Superior to Endovascular Treatment of Femoropopliteal Lesions in Chronic Limb-Threatening Ischemia.","Ambulatory Status Over Time after Revascularization in Patients with Chronic Limb-Threatening Ischemia.
The Society for Vascular Surgery Objective Performance Goals for Critical Limb Ischemia are attainable in select patients with ischemic wounds managed with wound care alone.
Analysis of Interwoven Nitinol Stenting for the Treatment of Critical Limb Ischemia: Outcomes From an Average 3-Year Follow-up Period.
Critical Limb Ischemia in Nonagenarians: A Challenge of Our Times.",
