pozycja,y0,kandydat_rywal,krotnosc,wspolnych,rywal_obecny_od,poprzedza,kolejni_kandydaci
mechanical alignment,2018,kinematic alignment,428.7,78.0,2016.0,True,patient specific instrumentation (33x) | robotic assistance (24x) | computer navigation (22x)
single bundle,2010,double bundle reconstruction,457.7,34.0,2007.0,True,
anatomic total shoulder arthroplasty,2015,reverse shoulder arthroplasty,38.7,118.0,2007.0,True,patient specific instrumentation (7x)
primary anterior cruciate ligament reconstruction,2012,revision anterior cruciate ligament reconstruction,110.8,170.0,2005.0,True,lateral extra articular tenodesis (41x) | anterolateral ligament (17x) | femoral nerve block (11x)
unilateral anterior cruciate ligament reconstruction,2017,,,,,,
primary unilateral total knee arthroplasty,2015,adductor canal block,45.1,15.0,2014.0,True,femoral nerve block (27x)
elective total knee arthroplasty,2022,adductor canal block,31.7,8.0,2014.0,True,
posterior lumbar fusion,2018,transforaminal lumbar interbody fusion,12.3,11.0,2002.0,True,anterior cervical discectomy fusion (5x)
pelvic fixation,2021,adult spinal deformity surgery,65.1,21.0,2013.0,True,
anterior cervical discectomy fusion,2013,cervical disc arthroplasty,60.1,164.0,2009.0,True,polyetheretherketone (26x) | total disc replacement (19x) | electronic medical record (6x)
