term,n,y0,udzial_2005,udzial_2006,udzial_2007,udzial_2008,udzial_2009,udzial_2010,udzial_2011,udzial_2012,udzial_2013,udzial_2014,udzial_2015,udzial_2016,udzial_2017,udzial_2018,udzial_2019,udzial_2020,udzial_2021,udzial_2022,udzial_2023,udzial_2024,udzial_2025,peak_year,peak_share_pct,prevalence_2021_2025_pct,docs_total,kandydaci_na_poprzednika,tytuly_okolo_y0,tytuly_2023_2025,poprzednik_glowny,tytuly_poprzednika,tytuly_WSPOLNE,kategoria,poprzednik,uwagi
systematic review,2,2014,0.496,0.394,0.82,0.756,1.413,1.501,1.859,2.013,2.518,2.957,3.559,3.712,4.201,4.691,4.999,5.312,6.599,6.903,6.95,7.228,7.612,2025,7.612,7.055,10854,"quasi randomized (lift 9.3, wsp. 26); conclusion on the (lift 8.8, wsp. 24); we undertook a (lift 6.7, wsp. 13); english literature (lift 6.6, wsp. 18); searched the cochrane (lift 6.5, wsp. 15)","[2013] Lateral extracavitary, costotransversectomy, and transthoracic thoracotomy approaches to the thoracic spine: review of techniques and complications. | [2013] Computer-assisted total knee arthroplasty is currently of no proven clinical benefit: a systematic review. | [2013] Prevalence of adjacent segment degeneration after spine surgery: a systematic review and meta-analysis.",[2023] Success Rate of Mandible Implants Placed in Vascularized Fibula Bone Graft: A Systematic Review. | [2023] Evaluation of the Posterior Tilt Angle in Predicting Failure of Nondisplaced Femoral Neck Fractures After Internal Fixation: A Systematic Review. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis.,quasi randomized,[2012] Manipulative interventions for reducing pulled elbow in young children. | [2012] Intramedullary nailing for tibial shaft fractures in adults. | [2012] Surgical versus non-surgical interventions for treating humeral shaft fractures in adults.,[2012] Anatomic Bankart repair compared with nonoperative treatment and/or arthroscopic lavage for first-time traumatic shoulder dislocation. | [2012] Comparison of the minimally invasive and standard medial parapatellar approaches for primary total knee arthroplasty. | [2012] Chinese manipulation for mechanical neck pain: a systematic review.,,,
a systematic review,3,2014,0.318,0.239,0.586,0.611,0.965,1.142,1.365,1.483,1.866,2.339,2.693,2.957,3.436,3.822,4.076,4.247,5.425,5.831,5.95,6.007,6.374,2025,6.374,5.91,8794,"conclusion on the (lift 9.0, wsp. 19); we undertook a (lift 8.7, wsp. 13); quasi randomized (lift 8.4, wsp. 18); english literature (lift 8.2, wsp. 17); undertook a (lift 8.2, wsp. 14)",[2013] Computer-assisted total knee arthroplasty is currently of no proven clinical benefit: a systematic review. | [2013] Prevalence of adjacent segment degeneration after spine surgery: a systematic review and meta-analysis. | [2013] Risk factors for new osteoporotic vertebral compression fractures after vertebroplasty: a systematic review and meta-analysis.,[2023] Success Rate of Mandible Implants Placed in Vascularized Fibula Bone Graft: A Systematic Review. | [2023] Evaluation of the Posterior Tilt Angle in Predicting Failure of Nondisplaced Femoral Neck Fractures After Internal Fixation: A Systematic Review. | [2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis.,conclusion on the,[2012] Cervical myelopathy after cervical total disc arthroplasty: case report and literature review. | [2012] Massive swelling of Surgicel® Fibrillar™ hemostat after spinal surgery. Case report and a review of the literature. | [2012] Intramedullary nailing for tibial shaft fractures in adults.,[2012] Surgical protocols for ridge preservation after tooth extraction. A systematic review. | [2012] The role of subacromial decompression in patients undergoing arthroscopic repair of full-thickness tears of the rotator cuff: a systematic review and meta-analysis. | [2012] Treatment of Mason type II radial head fractures without associated fractures or elbow dislocation: a systematic review.,,,
retrospective cohort study,3,2017,0.305,0.227,0.387,0.311,0.36,0.433,0.544,0.638,0.832,1.132,1.228,1.525,2.156,2.231,2.806,3.004,3.858,4.136,4.343,5.116,6.869,2025,6.869,4.866,6123,"cephalogram (lift 6.7, wsp. 16); mandibular prognathism (lift 6.6, wsp. 11); background data there (lift 6.3, wsp. 9); prognathism (lift 6.0, wsp. 11); open bite (lift 5.3, wsp. 6)",[2016] Associations Between Body Mass and Revision Surgical Outcomes in Adult Scoliosis. | [2016] Perioperative Outcomes After Cervical Laminoplasty Versus Posterior Decompression and Fusion: Analysis of 779 Patients in the ACS-NSQIP Database. | [2016] The Mark Coventry Award: Custom Cutting Guides Do Not Improve Total Knee Arthroplasty Clinical Outcomes at 2 Years Followup.,[2023] Does a Reduced Secondary Operation Rate Offset Higher Implant Charges when Utilizing Suture Button Fixation for Syndesmotic Injuries? | [2023] Risk of Postoperative Sciatic Nerve Palsy After Posterior Acetabular Fracture Fixation: Does Patient Position Matter? | [2023] Radiological and Long-Term Functional Outcomes of Displaced Distal Clavicle Fractures.,cephalogram,[2015] Morphologic outcome of bimaxillary surgery--an anthropometric appraisal. | [2015] Skeletal stability after bilateral sagittal split osteotomy or distraction osteogenesis of the mandible: a randomized clinical trial. | [2015] Cephalometric analysis and long-term outcomes of orthognathic surgical treatment for obstructive sleep apnoea.,[2015] Does the Pharyngeal Airway Recover After Sagittal Split Ramus Osteotomy for Mandibular Prognathism? | [2015] Stability of Pre-Orthodontic Orthognathic Surgery Using Intraoral Vertical Ramus Osteotomy Versus Conventional Treatment. | [2015] Intraoral Vertical Ramus Osteotomy Results in Good Long-Term Mandibular Stability in Patients With Mandibular Prognathism and Anterior Open Bite.,,,
registry,1,2018,0.382,0.394,0.551,0.507,0.711,0.829,1.08,1.367,1.626,1.72,1.968,1.957,2.163,2.356,2.877,3.254,2.94,3.14,3.268,3.287,3.699,2025,3.699,3.263,5645,"author conclusion (lift 25.5, wsp. 41); collection and analysis (lift 21.1, wsp. 42); searched the cochrane (lift 20.0, wsp. 25); quasi randomized (lift 10.6, wsp. 10); replacement performed (lift 8.8, wsp. 19)",[2017] What Sport Activity Levels Are Achieved in Patients After Resection and Endoprosthetic Reconstruction for a Proximal Femur Bone Sarcoma? | [2018] Risk Factors for Readmissions Following Anterior Lumbar Interbody Fusion. | [2017] Performing a Definitive Fusion in Juvenile CP Patients is a Good Surgical Option.,"[2023] A Quantitative and Qualitative Literature Analysis of the Orthopedic Surgeons' Experience: Reflecting on 20 Years in the Global War on Terror. | [2023] First-time revision knee arthroplasty using a hinged prosthesis : temporal trends, indications, and risk factors associated with re-revision using data from the National Joint Registry for 3,855 patients. | [2023] Minimally invasive versus open transforaminal lumbar interbody fusion for grade I lumbar spondylolisthesis: 5-year follow-up from the prospective multicenter Quality Outcomes Database registry.",author conclusion,[2016] Pharmacological treatment for Buerger's disease. | [2016] Pharmacological treatment for Buerger's disease. | [2016] Anticoagulants (extended duration) for prevention of venous thromboembolism following total hip or knee replacement or hip fracture repair.,[2016] Surgical versus non-surgical treatment for lumbar spinal stenosis. | [2016] Skin grafting and tissue replacement for treating foot ulcers in people with diabetes. | [2016] Single dose intra-articular morphine for pain control after knee arthroscopy.,,,
a retrospective cohort,3,2016,0.115,0.167,0.211,0.176,0.224,0.221,0.31,0.398,0.607,0.618,0.622,0.935,1.196,1.126,1.49,1.416,1.736,2.068,2.201,2.639,3.498,2025,3.498,2.425,3155,"background data there (lift 10.0, wsp. 6); one consecutive (lift 8.5, wsp. 4); their age (lift 8.5, wsp. 4); patient died of (lift 8.3, wsp. 4); at operation (lift 7.5, wsp. 7)",[2016] Polyetheretherketone (PEEK) Rods in Lumbar Spine Degenerative Disease: A Case Series. | [2015] Removing Outer Gloves as a Method to Reduce Spinal Surgery Infection. | [2015] Analysis of Risk Factors Causing New Symptomatic Vertebral Compression Fractures After Percutaneous Vertebroplasty for Painful Osteoporotic Vertebral Compression Fractures: A 4-year Follow-up.,[2023] Total Knee Replacement After Arthroscopic Meniscectomy in Knee Osteoarthritis: A Nationwide Population-Based Cohort Study. | [2023] Correlation Analysis between Residual Pain after Vertebral Augmentation and the Diffusion Distribution of Bone Cement: A Retrospective Cohort Study. | [2023] Preoperative overweight and obesity do not cause inferior outcomes following open-wedge high tibial osteotomy: A retrospective cohort study of 123 patients.,background data there,[2015] Lumbar facet joint effusion on MRI as a sign of unstable degenerative spondylolisthesis: should it influence the treatment decision? | [2015] Prognostic factors for surgical outcomes including preoperative total knee replacement and knee osteoarthritis status in female patients with lumbar spinal stenosis. | [2014] Complications of spinal fusion with utilization of bone morphogenetic protein: a systematic review of the literature.,"[2014] Surgery for spinal stenosis: long-term reoperation rates, health care cost, and impact of instrumentation. | [2015] Reoperation Rates for Symptomatic Nonunions in Anterior Cervical Fusions From a National Spine Registry. | [2016] Results of Revision Surgery for Proximal Junctional Kyphosis Following Posterior Segmental Instrumentation: Minimum 2-Year Postrevision Follow-Up.",,,
patient specific,2,2015,0.178,0.167,0.211,0.176,0.224,0.313,0.368,0.605,0.682,0.894,0.984,1.18,1.05,1.397,1.245,1.35,1.467,1.785,1.698,1.782,2.736,2025,2.736,1.893,2909,"instrumentation for (lift 20.0, wsp. 28); computer assisted surgery (lift 18.1, wsp. 19); instrumentation the (lift 14.6, wsp. 14); rapid prototyping (lift 13.0, wsp. 12); a computer assisted (lift 12.8, wsp. 7)",[2014] Patient-specific guides do not improve accuracy in total knee arthroplasty: a prospective randomized controlled trial. | [2014] Bioreactor cultivation of anatomically shaped human bone grafts. | [2014] Patient-specific instrumentation and return to activities after unicondylar knee arthroplasty.,[2023] Functional Performance Outcomes of a Powered Knee-Ankle Prosthesis in Service Members With Unilateral Transfemoral Limb Loss. | [2023] Guided Bone Regeneration for Horizontal Maxillary Alveolar Ridge Augmentation Using Patient-Specific Solid Titanium Barriers: A Case Series | [2023] Failed and Revision Rotator Cuff Repair.,instrumentation for,[2013] Comparative analysis of perioperative differences between hybrid versus pedicle screw instrumentation in adolescent idiopathic scoliosis. | [2013] Mortality and morbidity in early-onset scoliosis surgery. | [2013] Propofol sedation for infants with idiopathic clubfoot undergoing percutaneous tendoachilles tenotomy.,[2013] Letter to the editor Lustig et al entitled 'unsatifactory accuracy as determined by computer navigation of visionaire patient-specific instrumentation for total knee arthroplasty'. | [2013] Evaluation of a patient specific femoral alignment guide for hip resurfacing. | [2013] Patient-specific instrumentation for total knee arthroplasty does not match the pre-operative plan as assessed by intra-operative computer-assisted navigation.,,,
printed,1,2015,0.013,0.012,0.023,0.031,0.029,0.028,0.017,0.025,0.045,0.067,0.163,0.331,0.584,0.702,0.793,0.987,0.905,1.162,1.15,1.228,1.578,2025,1.578,1.202,1459,"resin (lift 39.1, wsp. 4); rapid prototyping (lift 38.5, wsp. 9); the computer (lift 23.6, wsp. 7); lactic (lift 23.5, wsp. 4); seeded (lift 23.5, wsp. 4)",[2014] Fabrication of printed titanium shells for containment of BMP-2 composite graft materials for alveolar bone reconstruction. | [2014] Mandibular reconstruction with a prefabricated free vascularized fibula and implant-supported prosthesis based on fully three-dimensional virtual planning. | [2014] [Postoperative rehabilitation strategy for acetabular fracture: application of 3D printing technique].,[2023] Custom-made 3D-printed porous metal acetabular composite component in revision hip arthroplasty with Paprosky type III acetabular defects: A case report. | [2023] Rehabilitation of long-term mandibular defects by whole-process digital fibula flap combining with implants: A case report. | [2023] C2 pedicle screw placement on 3D-printed models for the performance assessment of CTA-based screw preclusion.,resin,[2013] Minimally invasive transcrestal guided sinus lift (TGSL): a clinical prospective proof-of-concept cohort study up to 52 months. | [2013] Randomized trial of Legflow(®) paclitaxel eluting balloon and stenting versus standard percutaneous transluminal angioplasty and stenting for the treatment of intermediate and long lesions of the superficial femoral artery (RAPID trial): study protocol for a randomized controlled trial. | [2013] Impact of operator experience on the accuracy of implant placement with stereolithographic surgical templates: an in vitro study.,[2014] Mandibular distraction combined with orthognathic techniques for the correction of severe adult mandibular hypoplasia. | [2017] Reconstruction of Maxillary and Orbital Floor Defect With Free Fibula Flap and Whole Individualized Titanium Mesh Assisted by Computer Techniques. | [2017] Dental occlusal-surface-supported titanium guide to assist cutting and drilling in mandibular bilateral sagittal split osteotomy.,,,
md,1,2010,0.064,0.06,0.059,0.176,0.097,0.313,0.352,0.431,0.352,0.529,0.533,0.727,0.8,0.702,0.697,0.666,0.88,1.044,1.157,1.161,1.331,2025,1.331,1.111,1714,"author conclusion (lift 37.9, wsp. 9); collection and analysis (lift 37.9, wsp. 9); searched the cochrane (lift 24.4, wsp. 4)","[2009] Clubfoot: etiology and treatment Ignacio V. Ponseti, MD, 1914-. | [2009] Application of curative therapy in the ward. 1920. | [2009] Hard and soft tissue changes after correction of mandibular prognathism and facial asymmetry by mandibular setback surgery: three-dimensional analysis using computerized tomography.","[2023] Retrospective Analysis of Paraspinal Muscle-Splitting Microscopic-Assisted Discectomy Versus Percutaneous Endoscopic Lumbar Discectomy for the Treatment of Far-Lateral Lumbar Disc Herniation. | [2023] Combined Anterior-Posterior versus Posterior-Only Fixation of Stress-Positive Minimally Displaced Lateral Compression Type 1 (LC1) Pelvic Ring Injuries. | [2023] Rotational Issues in Total Knee Arthroplasty: Commentary on an article by Eugene S. Jang, MD, MS, et al.: ""Reference Axes for Tibial Component Rotation in Total Knee Arthroplasty. Computed Tomography-Based Study of 1,351 Tibiae"".",collection and analysis,[2008] Post-operative therapy for metacarpophalangeal arthroplasty. | [2008] Spinal fixation surgery for acute traumatic spinal cord injury. | [2008] Arthroscopic debridement for knee osteoarthritis.,[2011] Surgery for lateral elbow pain. | [2011] Arthroscopy for temporomandibular disorders. | [2012] Hyperbaric oxygen therapy for chronic wounds.,,,
reverse total shoulder,3,2013,0.025,0.012,0.117,0.124,0.107,0.175,0.36,0.24,0.307,0.343,0.577,0.568,0.536,0.556,0.697,0.845,0.849,0.92,1.089,1.08,1.311,2025,1.311,1.047,1548,"total shoulder replacement (lift 73.5, wsp. 13); shoulder prosthesis (lift 66.6, wsp. 26); mean active (lift 30.9, wsp. 9); prosthesis have (lift 23.6, wsp. 6); the infraspinatus (lift 20.5, wsp. 4)",[2012] The cost-effectiveness of reverse total shoulder arthroplasty compared with hemiarthroplasty for rotator cuff tear arthropathy. | [2012] The use of the Lima reverse shoulder arthroplasty for the treatment of fracture sequelae of the proximal humerus. | [2012] Complications of the reverse prosthesis: prevention and treatment.,[2023] Treatment of Massive Rotator Cuff Tears with Reverse Shoulder Arthroplasty. | [2023] Augmentation of Arthroscopic Rotator Cuff Repair: Biologics and Grafts. | [2023] My Reverse Has Failed: Top Five Complications and How to Manage Them.,total shoulder replacement,[2011] A multicentre study of the long-term results of using a flat-back polyethylene glenoid component in shoulder replacement for primary osteoarthritis. | [2011] Factors predicting complication rates after primary shoulder arthroplasty. | [2011] Venous thromboembolic events are rare after shoulder surgery: analysis of a national database.,[2011] Infraglenoidal scapular notching in reverse total shoulder replacement: a prospective series of 60 cases and systematic review of the literature. | [2011] Irreparable spontaneous deltoid rupture in rotator cuff arthropathy: the use of a reverse total shoulder replacement. | [2011] Rotator cuff tears treated with a modified deltoid flap repair technique.,,,
arthroplasty a systematic,3,2011,0.025,0.0,0.012,0.041,0.107,0.074,0.134,0.108,0.157,0.246,0.296,0.381,0.424,0.479,0.561,0.488,0.755,0.968,0.819,0.877,1.124,2025,1.124,0.908,1169,"minimally invasive total (lift 27.6, wsp. 4); metal on metal (lift 5.9, wsp. 4); metal on (lift 5.5, wsp. 4); resurfacing (lift 3.8, wsp. 4)",[2010] How to treat the stiff total knee arthroplasty?: a systematic review. | [2010] Osteonecrosis is not a predictor of poor outcomes in primary total hip arthroplasty: a systematic literature review. | [2010] Minimally invasive versus conventional exposure for total hip arthroplasty: a systematic review and meta-analysis of clinical and radiological outcomes.,[2023] Predictors of Persistent Post-Surgical Pain Following Total Knee Arthroplasty: A Systematic Review and Meta-Analysis of Observational Studies. | [2023] The course of knee extensor strength after total knee arthroplasty: a systematic review with meta-analysis and -regression. | [2023] Efficacy of 11 anticoagulants for the prevention of venous thromboembolism after total hip or knee arthroplasty: A systematic review and network meta-analysis.,minimally invasive total,[2009] An arthroscopic technique to enhance visualization during total hip arthroplasty. | [2009] Modified two-incision minimally invasive total hip replacement for ankylosed hips. | [2009] Early discharge and recovery with three minimally invasive total hip arthroplasty approaches: a preliminary study.,[2009] Minimally invasive total hip arthroplasty: a systematic review. | [2009] Factors influencing early rehabilitation after THA: a systematic review. | [2009] Minimally invasive total knee arthroplasty: a systematic review.,,,
reverse shoulder arthroplasty,3,2011,0.0,0.012,0.105,0.155,0.156,0.157,0.402,0.282,0.45,0.581,0.622,0.547,0.661,0.653,0.671,0.767,0.749,0.795,0.887,1.019,0.936,2024,1.019,0.876,1504,"shoulder prosthesis (lift 124.1, wsp. 39); mean active (lift 35.2, wsp. 8); the tuberosity (lift 34.4, wsp. 7); shoulder the (lift 27.6, wsp. 9); the proximal humerus (lift 24.6, wsp. 18)",[2010] Suprascapular neuropathy secondary to reverse shoulder arthroplasty: a case report. | [2010] Reverse glenoid component fixation: is a posterior screw necessary? | [2010] Reverse shoulder arthroplasty as a salvage procedure for failed conventional shoulder replacement due to cuff failure--midterm results.,"[2023] Management of Proximal Humeral Fractures in Adults: A Systematic Review and Meta-Analysis. | [2023] Tendon Transfers, Balloon Spacers, and Bursal Acromial Reconstruction for Massive Rotator Cuff Tears. | [2023] Treatment of Massive Rotator Cuff Tears with Reverse Shoulder Arthroplasty.",shoulder prosthesis,[2009] Revision arthroplasty with use of a reverse shoulder prosthesis-allograft composite. | [2009] Short-term results after reversed shoulder arthroplasty (Delta III) in patients with rheumatoid arthritis and irreparable rotator cuff tear. | [2009] [In situ assembly of a modular noncemented total shoulder prosthesis for the reconstruction of complex joint pathology].,[2009] Fracture of a reverse total shoulder arthroplasty retentive liner. | [2009] Acromial insufficiency in reverse shoulder arthroplasties. | [2009] The SMR reverse shoulder prosthesis in the treatment of cuff-deficient shoulder conditions.,,,
