grupa,przyczyna,szczyt,po_1_3,po_3_5,po_5_7,kalend_2021_22
mom total hip arthroplasty,1. dowody PRZECIW,2018,0.26536917939759563,0.17297938797856885,0.10778649636551764,0.17
hip resurfacing,1. dowody PRZECIW,2011,0.47676148877554925,0.25176145275154893,0.16811318018673158,0.1
computer navigation,4. dowody ZA + DALSZY ROZWOJ (wchloniecie),2007,0.765314232810775,0.6588934296719616,0.5694261173117547,0.39
femoral nerve block,2. dowody ZA ALTERNATYWA (wzglednie przeciw tej),2016,0.5474176950689622,0.36243900011774494,0.2583870813073833,0.23
double bundle reconstruction,3. BRAK przekonujacych dowodow,2010,0.735265811348588,0.34579418525827876,0.31269359360600674,0.2
ponseti method,5. dowody ZA + RUTYNA,2009,0.5002495165027947,0.6166666336849878,0.5337198398420485,0.57
kyphoplasty,5. dowody ZA + RUTYNA,2011,0.8690235690478516,0.6299878665604496,0.5973408542220281,0.43
dual mobility cup,5. dowody ZA + RUTYNA,2020,0.5853800240473607,0.4234234965869585,,0.61
microfracture,3. BRAK przekonujacych dowodow,2012,0.7632072954729048,0.6548063588466325,0.5793896325147562,0.39
autologous chondrocyte implantation,3. BRAK przekonujacych dowodow,2013,0.6286508916035951,0.5356106343514558,0.5011008166271109,0.3
mesenchymal stem cell,3. BRAK przekonujacych dowodow,2013,0.6891274221957809,0.7342780758860433,0.7208060499406175,0.37
total disc replacement,3. BRAK przekonujacych dowodow,2015,0.6857697516098372,0.47951819881794283,0.3251801167667009,0.33
