grupa,przyczyna,szczyt,po_1_3,po_3_5,po_5_7
mom total hip arthroplasty,1. dowody PRZECIW,2018,0.2654,0.173,0.1078
hip resurfacing,1. dowody PRZECIW,2011,0.4973,0.2574,0.1738
double bundle reconstruction,3. BRAK przekonujacych dowodow,2010,0.7353,0.3458,0.3127
femoral nerve block,2. dowody ZA ALTERNATYWA (wzglednie przeciw tej),2016,0.5474,0.3624,0.2584
dual mobility cup,5. dowody ZA + RUTYNA,2020,0.5854,0.4234,0.3811
total disc replacement,3. BRAK przekonujacych dowodow,2015,0.7317,0.4678,0.3402
ponseti method,5. dowody ZA + RUTYNA,2009,0.5002,0.6167,0.5337
microfracture,3. BRAK przekonujacych dowodow,2012,0.7632,0.6548,0.5794
computer navigation,4. dowody ZA + DALSZY ROZWOJ (wchloniecie),2007,0.7539,0.68,0.5974
mesenchymal stem cell,3. BRAK przekonujacych dowodow,2013,0.6891,0.7343,0.7208
autologous chondrocyte implantation,3. BRAK przekonujacych dowodow,2010,0.8593,0.7862,0.6891
