grupa,mechanizm,uwaga,zrodlo_klasyfikacji,poziom,poziom_uzasadnienie,klasa,klasa_uwaga,przyczyna,trwalosc_2021_2022,trwalosc_2023_2025,y0,rok_szczytu,po_1_3,po_3_5,po_5_7,rozstrzygniecie_odporne
mom total hip arthroplasty,porzucenie,technologia wycofana z praktyki,ortopeda 2026-09-02,praktyka,implanty wycofane z rynku i z sal,wycofanie z praktyki,implanty wycofane,1. dowody PRZECIW,0.17,0.11,2014,2018,0.2653691793975956,0.1729793879785688,0.1077864963655176,odrzucona
hip resurfacing,porzucenie,technologia wycofana z praktyki,ortopeda 2026-09-02,praktyka,wskazania radykalnie zawezone po sprawie metal-na-metal,wycofanie z praktyki,wskazania radykalnie zawezone,1. dowody PRZECIW,0.1,0.13,2005,2011,0.4767614887755492,0.2517614527515489,0.1681131801867315,odrzucona
computer navigation,wchloniecie przez nastepce,"weszla w robotyke, krzywa siada na plateau",ortopeda 2026-09-02,pismiennictwo,"nadal uzywana, wchlonieta jako skladnik robotyki",uwaga przechodzi na system zawierajacy (wchloniecie),weszla w robotyke jako skladnik,4. dowody ZA + DALSZY ROZWOJ (wchloniecie),0.39,0.32,2006,2007,0.765314232810775,0.6588934296719616,0.5694261173117547,nieodrzucona
femoral nerve block,wyparcie przez nastepce,zastapiona blokada kanalu przywodzicieli,ortopeda 2026-09-02,pismiennictwo,nadal wykonywana; uwaga przeszla na blokade kanalu,"alternatywne metody jednego wskazania, przesuniecie uwagi","blokada udowa i blokada kanalu przywodzicieli to dwie rozne metody (inny nerw, inne miejsce, inny profil oslabienia czworoglowego) do tego samego wskazania. Blokada udowa NADAL STOSOWANA i opisywana: 54 prace 2022-2025 wobec 105 o kanale. Przesunela sie proporcja uwagi, nie praktyka. Wspolwystepowanie 170x ponad przypadek.",2. dowody ZA ALTERNATYWA (wzglednie przeciw tej),0.23,0.29,2014,2016,0.5474176950689622,0.3624390001177449,0.2583870813073833,nieodrzucona
double bundle reconstruction,spor rozstrzygniety,obie strony sporu opadaja jednoczesnie,ortopeda 2026-09-02,pismiennictwo,"zabieg wykonywany, skonczyl sie spor","technika, wobec ktorej ukuto retronim","rywal single bundle byl RETRONIMEM (D8), nie technologia — nazwa ukuta dla starego sposobu, gdy pojawil sie nowy. Klasa 'warianty jednej metody bez zwyciezcy' upada: para nigdy nie byla dwoma rywalami o symetrycznych losach.",3. BRAK przekonujacych dowodow,0.2,0.16,2007,2010,0.735265811348588,0.3457941852582787,0.3126935936060067,nieodrzucona
ponseti method,adaptacja po sporze o skutecznosc,"przyjeta jako standard, spor wygasl",ortopeda 2026-09-02,pismiennictwo,standard leczenia; spadek uwagi jest oznaka sukcesu,"uwaga opada przy jednej technologii, ktora zostaje",przyjeta jako standard,5. dowody ZA + RUTYNA,0.57,0.29,2006,2009,0.5002495165027947,0.6166666336849878,0.5337198398420485,nieodrzucona
kyphoplasty,adaptacja po sporze o skutecznosc,jak ponseti; 1263 prace mimo niskiego ilorazu,ortopeda 2026-09-02,pismiennictwo,"1263 prace, nadal wykonywana","uwaga opada przy jednej technologii, ktora zostaje",badania z pozorowana kontrola 2009,5. dowody ZA + RUTYNA,0.43,0.36,2005,2011,0.8690235690478516,0.6299878665604496,0.5973408542220281,nieodrzucona
dual mobility cup,adaptacja po sporze o skutecznosc,"technologia z 1974, pismiennictwo ang. od 2008",ortopeda 2026-09-02,pismiennictwo,"klinicznie rosnie, uwaga opada po fazie sporu","uwaga opada przy jednej technologii, ktora zostaje",przyjeta,5. dowody ZA + RUTYNA,0.61,0.42,2016,2020,0.5853800240473607,0.4234234965869585,,nieodrzucona
microfracture,"rownolegle techniki, spor dychotomiczny",przeciecie posrednie z ACI,ortopeda 2026-09-02,pismiennictwo,w uzyciu,"alternatywne metody jednego wskazania, bez zwyciezcy","dwie odrebne metody leczenia ubytku chrzastki, nie warianty jednego zabiegu; wybor wedlug wskazania (wielkosc ubytku), stad wspolwystepowanie 92x ponad przypadek — piec razy nizsze niz przy wariantach. Obie w uzyciu; ACI kosztowne i trudno dostepne.",3. BRAK przekonujacych dowodow,0.39,0.48,2012,2012,0.7632072954729048,0.6548063588466325,0.5793896325147562,nieodrzucona
autologous chondrocyte implantation,"rownolegle techniki, spor dychotomiczny",przeciecie posrednie z microfracture,ortopeda 2026-09-02,pismiennictwo,w uzyciu,"alternatywne metody jednego wskazania, bez zwyciezcy","dwie odrebne metody leczenia ubytku chrzastki, nie warianty jednego zabiegu; wybor wedlug wskazania (wielkosc ubytku), stad wspolwystepowanie 92x ponad przypadek — piec razy nizsze niz przy wariantach. Obie w uzyciu; ACI kosztowne i trudno dostepne.",3. BRAK przekonujacych dowodow,0.3,0.36,2006,2010,0.6286508916035951,0.5356106343514558,0.5011008166271109,nieodrzucona
mesenchymal stem cell,temat wracajacy,"dwa garby, y0 po pierwszym",ortopeda 2026-09-02,pismiennictwo,"temat wracajacy, nie technologia porzucona",technologia niedojrzala,"dojrzewanie: prace kliniczne 10%->41%, podstawowe 76%->48%",3. BRAK przekonujacych dowodow,0.37,0.35,2017,2013,0.6891274221957809,0.7342780758860433,0.7208060499406175,nieodrzucona
total disc replacement,technologia niedojrzala,"dekada plateau 2005-2018 bez rozstrzygniecia, potem zanik; interpretacja ortopedy",ortopeda 2026-09-02,pismiennictwo,"wskazania zawezone, zabieg wykonywany",technologia niedojrzala,dekada plateau bez rozstrzygniecia,3. BRAK przekonujacych dowodow,0.33,0.26,2005,2015,0.6857697516098372,0.4795181988179428,0.3251801167667009,nieodrzucona
