pozycja,term,y0,prevalence_pct,kategoria_proponowana,kategoria_ocena,wariant_do,trafnosc,uwaga
1,ci,2015,6.711,metoda,metoda,,,
2,systematic review,2014,6.552,metoda,metoda,,,
3,vas,2021,6.399,skala,skala,,,
4,primary outcome,2013,4.841,metoda,metoda,,,
5,meta analysis,2013,4.77,metoda,metoda,,,
6,inclusion criterion,2016,4.225,metoda,metoda,,,
7,pubmed,2011,4.062,metoda,metoda,,,
8,embase,2013,3.663,metoda,metoda,,,
9,95 ci,2014,3.638,metoda,metoda,,,
10,cohort,2021,3.453,metoda,metoda,,,
11,retrospective cohort study,2017,3.308,metoda,metoda,,,
12,secondary outcome,2013,3.231,metoda,metoda,,,
13,bmi,2015,3.183,czynnik,czynnik,,,
14,level iii,2014,3.139,metoda,metoda,,,
15,body mass index,2022,3.126,,,,,
16,patient reported outcome,2010,2.578,skala,skala,,,
17,periprosthetic joint infection,2011,2.501,rozpoznanie,rozpoznanie,,,
18,odd ratio,2016,2.482,metoda,metoda,,,
19,demographic,2017,2.328,metoda,metoda,,,
20,comorbidity,2017,2.279,czynnik,czynnik,,,
21,science,2014,2.209,metoda,metoda,,,
22,prom,2013,2.17,skala,skala,patient reported outcome measure,,
23,patient reported outcome measure,2011,2.156,skala,skala,,,
24,operation time,2019,2.112,wynik,wynik,,,
25,odi,2016,2.064,skala,skala,,,
26,web,2013,1.98,metoda,metoda,,,
27,or,2018,1.922,metoda,metoda,,,
28,vas score,2017,1.919,skala,skala,vas,,
29,patient demographic,2013,1.829,metoda,metoda,,,
30,this systematic review,2012,1.821,metoda,metoda,,,
31,cochrane library,2012,1.784,metoda,metoda,,,
32,medline,2021,1.719,metoda,metoda,,,
33,readmission,2014,1.68,wynik,wynik,,,
34,intraoperative blood loss,2017,1.655,wynik,wynik,,,
35,postoperative outcome,2020,1.651,wynik,wynik,,,
36,instruction,2016,1.629,metoda,metoda,,,
37,clinical efficacy,2020,1.475,wynik,wynik,,,
38,independent risk factor,2014,1.443,metoda,metoda,,,
39,90 day,2016,1.407,metoda,metoda,,,
40,revision rate,2020,1.342,wynik,wynik,,,
41,trial registration,2011,1.339,metoda,metoda,,,
42,rct,2015,1.335,metoda,metoda,,,
43,scopus,2015,1.306,metoda,metoda,,,
44,bias,2015,1.271,metoda,metoda,,,
45,preferred reporting item,2015,1.239,metoda,metoda,,,
46,exclusion criterion,2016,1.233,metoda,metoda,,,
47,surgical site infection,2017,1.2,rozpoznanie,rozpoznanie,,,
48,minimal clinically important difference,2016,1.191,metoda,metoda,,,
49,subgroup analysis,2014,1.188,metoda,metoda,,,
50,reoperation rate,2020,1.187,wynik,wynik,,,
51,los,2019,1.179,metoda,metoda,,,
52,mcid,2016,1.155,metoda,metoda,,,
53,database,2021,1.126,,,,,
54,iqr,2014,1.121,metoda,metoda,,,
55,koo,2012,1.11,skala,skala,osteoarthritis outcome score,,
56,p value,2016,1.104,metoda,metoda,,,
57,logistic regression analysis,2020,1.094,metoda,metoda,,,
58,auc,2013,1.087,metoda,metoda,,,
59,hr,2014,1.06,metoda,metoda,,,
60,univariate analysis,2016,1.031,metoda,metoda,,,
61,tja,2015,0.973,technika,technika,primary total joint arthroplasty,,
62,patient characteristic,2022,0.971,,,,,
63,md,2010,0.971,metoda,metoda,,,
64,included study,2012,0.956,metoda,metoda,,,
65,pro,2017,0.94,skala,skala,patient reported outcome,,
66,propensity score matching,2017,0.917,metoda,metoda,,,
67,lower rate,2021,0.91,metoda,metoda,,,
68,inception,2013,0.892,metoda,metoda,,,
69,prisma guideline,2016,0.878,metoda,metoda,,,
70,hhs,2020,0.873,skala,skala,modified harris hip score,,
71,this retrospective cohort study,2015,0.863,metoda,metoda,,,
72,this meta analysis,2013,0.86,metoda,metoda,,,
73,reverse total shoulder arthroplasty,2013,0.86,technika,technika,,trafna,powinna być razem z 87
74,asd,2014,0.841,rozpoznanie,rozpoznanie,adult spinal deformity,,
75,hazard ratio,2015,0.831,metoda,metoda,,,
76,rr,2014,0.825,metoda,metoda,,,
77,ase,2020,0.788,skala,skala,subjective shoulder value,,
78,knee injury,2018,0.783,rozpoznanie,rozpoznanie,,,
79,kss,2013,0.775,skala,skala,,,
80,independent predictor,2015,0.754,metoda,metoda,,,
81,paucity,2019,0.746,,,,,
82,threshold,2018,0.741,metoda,metoda,,,
83,joa,2016,0.727,skala,skala,,,
84,single center,2018,0.669,metoda,metoda,,,
85,receiver operating characteristic curve,2018,0.663,metoda,metoda,,,
86,multivariable analysis,2013,0.66,metoda,metoda,,,
87,reverse shoulder arthroplasty,2011,0.659,technika,technika,,trafna,powinna być razem z 73
88,lower risk,2019,0.653,metoda,metoda,,,
89,random effect model,2016,0.65,metoda,metoda,,,
90,opioid consumption,2013,0.646,organizacja,organizacja,,,
91,race,2022,0.635,,,,,
92,oks,2012,0.634,skala,skala,clinical outcome score,,
93,adult spinal deformity,2017,0.634,rozpoznanie,rozpoznanie,,,
94,modified harris hip score,2016,0.633,skala,skala,,,
95,all p,2019,0.619,,,,,
96,baseline characteristic,2014,0.606,metoda,metoda,,,
97,ssi,2018,0.605,rozpoznanie,rozpoznanie,surgical site infection,,
98,editorial commentary,2015,0.602,metoda,metoda,,,
99,final analysis,2017,0.598,metoda,metoda,,,
100,case presentation,2014,0.596,metoda,metoda,,,
101,descriptive statistic,2018,0.596,metoda,metoda,,,
102,primary anterior cruciate ligament reconstruction,2018,0.593,technika,technika,,trafna,
103,google scholar,2012,0.59,metoda,metoda,,,
104,charlson comorbidity index,2013,0.59,czynnik,czynnik,,,
105,literature search,2019,0.589,metoda,metoda,,,
106,older age,2019,0.589,metoda,metoda,,,
107,tranexamic acid,2015,0.583,lek,lek,,,
108,systematic search,2011,0.582,metoda,metoda,,,
109,opioid use,2017,0.574,organizacja,organizacja,,,
110,meta analysis guideline,2017,0.574,metoda,metoda,,,
